2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions (18+) - DMC23,Plan All-Cause Readmissions (18-64) - DMC24,Plan All-Cause Readmissions (65+) - DMC25,Physical Functioning Activities of Daily Living - DMC26,Care of Older Adults - Functional Status - DMC27,Kidney Health Evaluation for Patients With Diabetes - DMC28,Improving or Maintaining Physical Health - DMC29,Improving or Maintaining Mental Health - DMC30,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H2915,Wellcare by Allwell,"PENNSYLVANIA HEALTH & WELLNESS, INC.",Centene Corporation,19%,64%,Not enough data available,64%,Not enough data available,No data available,0:35,60%,88%,7.42%,73%,79%,48%,6%,33%,54%,52%,55%,12%,80%,8%,39%,14%,13%,15%,No data available,79%,40%,No data available,No data available,7.42%,0:35,100,0:12,86,56%,45%,8%,6%,14.40%,11.94%,0.77%,11.43%,7.20%,12.76,21%,32%,10%,Not Available,17%,100
H2926,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:06,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Not enough data available,Plan too small to be measured,No data available,No data available,0.00%,0:06,101,0:10,98,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2944,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not enough data available,66%,Not enough data available,65%,21%,93,0:23,71%,96%,1.00%,80%,68%,31%,4%,24%,64%,59%,78%,10%,85%,9%,46%,14%,15%,14%,90%,Plan not required to report measure,19%,73%,72%,1.01%,0:23,100,0:15,88,61%,35%,8%,10%,16.80%,6.87%,No data available,8.13%,6.76%,1.56,16%,18%,39%,9%,13%,100
H2960,Senior Care Plus,"HOMETOWN HEALTH PLAN, INC.",Renown Health,Not enough data available,59%,Not enough data available,89%,32%,93,1:08,83%,94%,1.57%,65%,89%,21%,3%,11%,79%,68%,86%,82%,89%,72%,82%,12%,15%,12%,98%,No data available,65%,67%,80%,0.78%,0:42,100,0:21,95,44%,17%,7%,1%,13.94%,5.97%,0.08%,7.20%,5.27%,1.57,12%,34%,23%,9%,12%,100
H2962,Ultimate Health Plans,"ULTIMATE HEALTH PLANS, INC.","Ultimate Healthcare Holdings, LLC",Not enough data available,66%,Not enough data available,88%,40%,90,0:28,63%,96%,3.91%,79%,71%,5%,1%,7%,82%,53%,87%,6%,93%,4%,48%,12%,17%,12%,99%,98%,78%,62%,81%,0.79%,0:21,101,0:56,58,55%,32%,5%,No data available,20.96%,11.55%,0.13%,9.77%,5.76%,4.5,19%,41%,9%,8%,11%,100
H2986,Essence Healthcare,STANFORD HEALTHCARE ADVANTAGE,Essence Group Holdings Corporation,Not enough data available,61%,Not enough data available,84%,Not enough data available,92,0:11,79%,92%,0.78%,Not enough data available,Not enough data available,32%,6%,9%,63%,57%,72%,7%,85%,9%,43%,9%,5%,9%,98%,Plan not required to report measure,49%,68%,79%,2.34%,0:21,100,0:10,97,60%,29%,9%,No data available,8.50%,4.41%,No data available,6.12%,3.65%,10.02,29%,25%,29%,16%,19%,80
H3015,Shared Health Dual Plus,"SHARED HEALTH MISSISSIPPI, INC.",BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:22,Plan too new to be measured,Plan too new to be measured,2.34%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,2.34%,0:22,No data available,0:09,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3047,Wellcare,WELLCARE HEALTH INSURANCE COMPANY OF LOUISIANA,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:34,Plan too new to be measured,Plan too new to be measured,1.08%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,1.08%,0:34,No data available,0:36,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3071,Clear Spring Health,"COMMUNITY CARE ALLIANCE OF ILLINOIS, INC.",Group 1001,8%,52%,Not enough data available,64%,16%,No data available,0:32,59%,81%,10.14%,81%,95%,44%,2%,21%,71%,35%,45%,27%,64%,34%,43%,13%,14%,12%,93%,Plan not required to report measure,45%,67%,74%,10.14%,0:32,99,0:09,91,58%,41%,2%,No data available,13.98%,1.71%,0.73%,7.27%,7.95%,CMS Found Issues with Plan's Data,26%,36%,15%,Not Available,16%,80
H3113,UnitedHealthcare,"OXFORD HEALTH PLANS (NJ), INC.","UnitedHealth Group, Inc.",46%,58%,87%,62%,34%,90,0:42,57%,96%,1.06%,74%,86%,37%,8%,22%,58%,57%,56%,10%,79%,6%,38%,14%,13%,15%,90%,79%,37%,68%,79%,1.06%,0:42,100,0:39,64,63%,52%,6%,4%,20.78%,10.10%,0.37%,12.43%,9.08%,1.84,19%,25%,17%,Not Available,17%,100
H3132,AHF,"AHF MCO OF FLORIDA, INC.",AIDS Healthcare Foundation,24%,62%,Not enough data available,Not enough data available,28%,No data available,0:32,81%,98%,0.00%,Not enough data available,Not enough data available,28%,3%,25%,68%,51%,72%,53%,85%,7%,54%,11%,8%,17%,98%,95%,34%,64%,67%,0.78%,0:45,100,0:11,95,79%,61%,7%,No data available,35.38%,21.32%,No data available,9.99%,8.44%,7.79,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3146,Aetna Medicare,AETNA BETTER HEALTH INC. (GA),CVS Health Corporation,Not enough data available,61%,Not enough data available,Plan not required to report measure,41%,95,0:36,76%,96%,1.36%,86%,83%,36%,5%,11%,64%,59%,93%,2%,81%,3%,45%,12%,19%,11%,No data available,79%,43%,No data available,No data available,1.36%,0:36,100,0:40,92,60%,29%,6%,No data available,18.27%,9.35%,No data available,6.07%,3.75%,1.89,11%,12%,19%,Not Available,15%,100
H3152,Aetna Medicare,AETNA HEALTH INC. (NJ),CVS Health Corporation,54%,61%,88%,80%,42%,93,0:31,71%,95%,0.50%,78%,82%,29%,4%,15%,43%,52%,82%,3%,77%,2%,41%,10%,10%,10%,97%,Plan not required to report measure,43%,68%,78%,0.50%,0:31,101,0:40,93,59%,30%,7%,9%,21.32%,15.22%,0.10%,5.98%,4.68%,1.02,15%,16%,40%,Not Available,11%,100
H3154,Horizon Blue Cross Blue Shield of New Jersey,HORIZON INSURANCE COMPANY,"Horizon Healthcare Services, Inc.",55%,59%,81%,72%,29%,93,1:13,69%,93%,0.00%,74%,83%,39%,5%,18%,59%,60%,79%,11%,74%,9%,43%,16%,16%,16%,93%,Plan not required to report measure,36%,64%,74%,0.00%,0:13,100,0:14,93,50%,23%,7%,1%,21.39%,16.82%,0.06%,5.80%,4.93%,CMS Found Issues with Plan's Data,19%,24%,36%,Not Available,13%,100
H3170,Blue Cross and Blue Shield of Nebraska,"SAPPHIRE EDGE, INC.",Blue Cross Blue Shield of Nebraska,Not enough data available,75%,Not enough data available,77%,Not enough data available,No data available,0:26,78%,93%,3.13%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,13%,69%,55%,63%,31%,85%,11%,47%,11%,9%,12%,98%,Plan not required to report measure,47%,69%,82%,0.00%,0:29,100,0:21,92,39%,20%,15%,No data available,29.12%,9.77%,No data available,6.11%,5.87%,3.66,14%,3%,23%,11%,7%,100
H3186,Sanford Health Plan of Minnesota,SANFORD HEALTH PLAN OF MINNESOTA,Sanford Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3192,Aetna Medicare,AETNA HEALTH OF MICHIGAN INC.,CVS Health Corporation,Not enough data available,84%,Not enough data available,Plan not required to report measure,Not enough data available,Plan too new to be measured,0:34,59%,93%,1.04%,79%,76%,39%,0%,19%,58%,44%,90%,2%,73%,1%,41%,6%,0%,8%,No data available,No data available,35%,No data available,No data available,1.04%,0:34,100,0:40,92,54%,34%,2%,No data available,14.53%,5.61%,No data available,12.60%,3.09%,2.42,17%,25%,20%,Not Available,14%,100
H3204,Presbyterian Health Plan,PRESBYTERIAN HEALTH PLAN,Presbyterian Healthcare Services,57%,69%,95%,88%,31%,92,0:35,79%,94%,0.79%,75%,82%,54%,9%,8%,57%,61%,52%,48%,85%,42%,57%,11%,11%,10%,95%,76%,59%,70%,76%,0.79%,0:35,99,0:13,62,51%,23%,6%,6%,10.28%,6.83%,0.07%,5.57%,3.51%,2.79,21%,24%,35%,Not Available,14%,100
H3206,"Presbyterian Insurance Company, Inc.","PRESBYTERIAN INSURANCE COMPANY, INC.",Presbyterian Healthcare Services,Not enough data available,56%,Not enough data available,82%,35%,91,0:38,83%,95%,0.79%,Not enough data available,Not enough data available,45%,3%,10%,55%,68%,50%,30%,85%,27%,48%,14%,17%,13%,96%,Plan not required to report measure,45%,66%,81%,0.79%,0:38,99,0:13,63,44%,26%,4%,No data available,14.36%,12.94%,No data available,7.88%,4.20%,2.61,12%,13%,51%,Not Available,8%,100
H3213,CareSource,CARESOURCE KENTUCKY CO.,CareSource,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:21,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.00%,0:21,No data available,0:09,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3219,Allina Health Aetna Medicare,ALLINA HEALTH AND AETNA INSURANCE COMPANY,Allina Health and Aetna Insurance Holding Company,Not enough data available,78%,Not enough data available,85%,Not enough data available,93,0:27,77%,94%,0.00%,85%,89%,29%,5%,9%,74%,64%,80%,0%,81%,0%,40%,13%,15%,13%,No data available,Plan not required to report measure,5%,No data available,No data available,0.00%,0:27,100,0:40,91,50%,22%,9%,No data available,8.38%,5.59%,0.21%,6.11%,2.94%,2.35,20%,23%,27%,Not Available,19%,100
H3237,Health Net Cal MediConnect Medicare Medicaid Plan,"HEALTH NET COMMUNITY SOLUTIONS, INC.",Centene Corporation,37%,55%,Not enough data available,57%,20%,No data available,0:30,Plan too small to be measured,80%,5.08%,63%,90%,22%,3%,11%,62%,53%,53%,15%,78%,7%,38%,12%,12%,12%,91%,Plan not required to report measure,57%,81%,71%,5.08%,0:30,100,2:33,85,No data available,No data available,7%,4%,18.46%,3.59%,0.47%,7.22%,5.81%,CMS Found Issues with Plan's Data,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3239,Aetna Medicare,"AETNA BETTER HEALTH, INC. (LA)",CVS Health Corporation,29%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:36,55%,91%,1.50%,80%,92%,33%,5%,Not enough data available,44%,48%,91%,1%,67%,1%,40%,21%,19%,26%,No data available,79%,37%,No data available,No data available,1.50%,0:36,100,0:40,95,71%,62%,7%,No data available,12.74%,2.67%,1.19%,5.92%,6.54%,2.7,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3240,Amerigroup Community Care,"AMERIGROUP NEW JERSEY, INC.",Anthem Inc.,40%,62%,Not enough data available,51%,30%,No data available,0:40,50%,90%,4.30%,62%,84%,42%,9%,25%,66%,52%,39%,0%,73%,0%,28%,18%,21%,16%,86%,60%,32%,71%,80%,1.57%,0:08,102,0:41,94,55%,52%,6%,9%,21.75%,12.26%,0.24%,10.19%,6.94%,CMS Found Issues with Plan's Data,25%,33%,28%,Not Available,17%,100
H3251,Blue Cross and Blue Shield of New Mexico,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,38%,60%,Not enough data available,85%,33%,No data available,0:43,77%,92%,8.66%,74%,83%,12%,2%,7%,62%,53%,78%,11%,85%,36%,52%,10%,21%,9%,93%,80%,48%,67%,79%,8.66%,0:43,100,0:18,93,44%,22%,4%,4%,10.80%,6.93%,No data available,4.46%,3.25%,8.33,24%,26%,19%,11%,16%,100
H3256,UnitedHealthcare,"UNITEDHEALTHCARE OF GEORGIA, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,1:06,Plan too new to be measured,Plan too new to be measured,1.73%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,1.73%,1:06,No data available,0:39,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
