CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H3755,CommunityCare Senior Health Plan (HMO),"COMMUNITY CARE HMO, INC","CommunityCare Managed Healthcare Plans of OK, Inc.",56%,92%,51%,93%,88%,81%,32%,88%,0:03,80%,96%,1.96%,71%,82%,26%,0%,52%,29%,27%,95%,Not enough data available,47%,29%,88%,100.00%,1.96%,0:03,7.2%,1.17%,100%,97,17.70%,Not enough data available,0:08,99,0.0%,0.0%,28%,12%,99%,0.27,11%,28%,30%,5%,6%
H3765,HeartlandPlains Health,HEARTLANDPLAINS HEALTH,Catholic Health Initiatives,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3794,UnitedHealthcare,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,85%,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:33,No data available,Not enough data available,2.45%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,2.45%,0:33,No data available,No data available,100%,No data available,No data available,No data available,0:04,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H3805,UnitedHealthcare,"UNITEDHEALTHCARE OF OREGON, INC.","UnitedHealth Group, Inc.",68%,85%,63%,94%,93%,76%,29%,90%,2:14,84%,96%,1.82%,69%,83%,28%,3%,60%,45%,38%,92%,Not enough data available,52%,32%,100%,No data available,1.82%,2:14,4.3%,0.78%,100%,98,13.43%,85%,0:04,97,0.0%,0.0%,39%,14%,97%,4.41,18%,20%,31%,11%,13%
H3810,AllCare Advantage,"ALLCARE HEALTH PLAN, INC.","MidRogue AllCare Health Assurance, Inc.",Not enough data available,CMS Found Issues with Plan’s Data,63%,Not enough data available,92%,78%,38%,91%,0:25,76%,96%,0.00%,81%,83%,29%,1%,62%,30%,32%,88%,Not enough data available,42%,36%,No data available,No data available,0.00%,0:25,4.8%,0.49%,96%,98,0.00%,89%,0:21,99,No data available,0.0%,16%,12%,80%,0.68,13%,17%,41%,No data available,No data available
H3811,Samaritan Advantage Health Plan,"SAMARITAN HEALTH PLANS, INC.",Samaritan Health Services,Not enough data available,82%,49%,Not enough data available,92%,73%,30%,89%,0:07,79%,97%,1.42%,72%,74%,25%,5%,59%,24%,28%,96%,Not enough data available,47%,40%,0%,100.00%,1.42%,0:07,4.2%,1.52%,100%,100,23.26%,83%,0:04,97,No data available,26.7%,15%,7%,88%,0.62,5%,9%,42%,2%,2%
H3812,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",56%,85%,57%,76%,91%,75%,29%,Not enough data available,0:41,76%,93%,2.73%,69%,75%,38%,3%,59%,47%,43%,90%,Not enough data available,51%,34%,100%,No data available,2.73%,0:41,4.4%,1.01%,No data available,98,18.95%,Not enough data available,0:04,97,0.0%,0.0%,32%,12%,92%,3.28,4%,9%,48%,7%,4%
H3813,"Moda Health Plan, Inc.","MODA HEALTH PLAN, INC.","Moda, Inc.",Not enough data available,49%,61%,Not enough data available,90%,89%,37%,92%,0:01,78%,97%,0.00%,Not enough data available,Not enough data available,21%,1%,58%,30%,34%,89%,Not enough data available,52%,39%,57%,100.00%,0.00%,0:02,5.3%,0.87%,100%,97,No data available,Not enough data available,0:07,87,No data available,0.0%,18%,8%,95%,0.20,16%,10%,34%,11%,13%
H3814,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not enough data available,89%,44%,Not enough data available,91%,62%,21%,Not enough data available,0:04,66%,94%,0.95%,64%,90%,36%,5%,55%,31%,32%,88%,Not enough data available,50%,37%,100%,No data available,0.95%,0:04,8.3%,0.27%,100%,99,30.77%,Not enough data available,0:05,99,No data available,0.0%,16%,19%,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available
H3815,Alignment Health Plan,ALIGNMENT HEALTH PLAN,"Alignment Healthcare USA, LLC",26%,87%,37%,91%,92%,61%,23%,89%,0:16,71%,95%,0.00%,65%,69%,29%,1%,55%,55%,47%,73%,Not enough data available,65%,35%,100%,No data available,0.00%,0:16,5.9%,0.80%,100%,100,10.00%,Not enough data available,0:03,98,0.0%,6.7%,37%,30%,95%,0.81,12%,28%,25%,12%,10%
H3817,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OREGON,"Cambia Health Solutions, Inc.",49%,80%,56%,91%,92%,81%,31%,90%,0:13,80%,97%,0.00%,74%,79%,38%,2%,65%,37%,36%,90%,Not enough data available,48%,33%,91%,100.00%,0.00%,0:13,5.0%,1.33%,100%,99,11.25%,Not enough data available,0:07,98,0.0%,0.0%,25%,15%,92%,0.50,6%,15%,50%,8%,7%
H3818,"FamilyCare Health Plans, Inc.","FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,Not enough data available,95%,78%,Not enough data available,91%,62%,25%,Not enough data available,0:04,65%,91%,0.00%,74%,85%,27%,4%,68%,41%,44%,82%,Not enough data available,60%,32%,No data available,No data available,0.00%,0:04,4.9%,0.22%,100%,98,6.67%,Not enough data available,0:08,98,No data available,0.0%,34%,34%,99%,CMS Found Issues with Plan's Data,14%,27%,22%,10%,13%
H3822,"Blue Cross Blue Shield of IL, MT, NM",HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,31%,85%,54%,80%,83%,72%,46%,Not enough data available,0:22,73%,92%,1.41%,66%,72%,20%,2%,57%,38%,32%,92%,Not enough data available,56%,26%,81%,100.00%,1.41%,0:22,4.7%,0.49%,100%,99,No data available,Not enough data available,0:05,98,0.0%,0.0%,33%,12%,93%,21.33,33%,49%,13%,13%,19%
H3832,Akamai Advantage by HMSA,HAWAII MEDICAL SERVICE ASSOCIATION,Hawaii Medical Service Association,64%,73%,51%,90%,93%,82%,33%,Not enough data available,0:09,74%,97%,1.54%,76%,78%,30%,4%,46%,34%,33%,74%,Not enough data available,61%,38%,100%,100.00%,1.54%,0:09,4.2%,0.12%,100%,102,6.38%,Not enough data available,0:09,98,0.0%,6.7%,49%,23%,92%,0.83,4%,6%,53%,8%,7%
H3864,PacificSource Medicare,PACIFICSOURCE COMMUNITY HEALTH PLANS,PacificSource Health Plans,77%,88%,59%,91%,90%,79%,36%,Not enough data available,0:03,78%,95%,1.01%,64%,74%,39%,4%,60%,37%,39%,91%,Not enough data available,48%,31%,91%,75.00%,1.01%,0:03,4.3%,0.26%,92%,96,25.00%,Not enough data available,0:04,95,6.7%,13.3%,23%,15%,95%,CMS Found Issues with Plan's Data,13%,2%,45%,6%,5%
H3887,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",33%,85%,51%,93%,89%,70%,22%,Not enough data available,0:41,65%,92%,3.25%,76%,78%,47%,3%,61%,52%,44%,83%,Not enough data available,52%,39%,100%,No data available,3.25%,0:41,5.3%,1.18%,No data available,99,23.13%,Not enough data available,0:04,98,0.0%,0.0%,53%,22%,97%,7.10,25%,40%,34%,11%,16%
H3890,Johns Hopkins,"HOPKINS HEALTH ADVANTAGE, INC.",Johns Hopkins Healthcare LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3907,UPMC Health Plan,"UPMC HEALTH PLAN, INC.",UPMC Health System,68%,71%,59%,94%,93%,78%,35%,93%,0:18,80%,96%,0.00%,79%,82%,38%,2%,62%,48%,44%,86%,Not enough data available,50%,35%,82%,50.00%,0.00%,0:18,5.5%,0.63%,100%,99,15.88%,Not enough data available,0:11,97,0.0%,0.0%,42%,14%,96%,CMS Found Issues with Plan's Data,4%,6%,37%,7%,4%
H3909,Personal Choice 65 PPO,QCC INSURANCE COMPANY,"Independence Health Group, Inc.",Not enough data available,90%,64%,Not enough data available,91%,83%,38%,93%,0:02,79%,97%,3.61%,66%,80%,42%,2%,53%,47%,37%,80%,Not enough data available,45%,40%,100%,50.00%,3.61%,0:02,3.9%,0.24%,100%,98,12.00%,Not enough data available,0:07,98,No data available,No data available,40%,16%,94%,1.06,9%,5%,38%,7%,10%
H3912,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,85%,86%,Not enough data available,98%,Not enough data available,Not enough data available,No data available,0:32,No data available,100%,2.48%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,2.48%,0:32,10.6%,1.14%,No data available,No data available,18.01%,No data available,0:04,99,No data available,0.0%,No data available,No data available,No data available,0.20,No data available,No data available,No data available,No data available,No data available
H3916,Highmark Senior Health Company,HIGHMARK SENIOR HEALTH COMPANY,Highmark Health,59%,71%,57%,93%,91%,80%,35%,92%,0:20,79%,97%,1.24%,80%,77%,44%,3%,53%,36%,33%,84%,91%,48%,35%,100%,88.89%,1.24%,0:20,5.7%,0.71%,100%,100,17.99%,84%,0:11,98,No data available,No data available,35%,13%,92%,0.40,3%,2%,55%,6%,3%
H3921,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",53%,85%,56%,Not enough data available,90%,69%,38%,Not enough data available,0:45,69%,94%,3.02%,79%,78%,46%,2%,54%,45%,34%,88%,Not enough data available,44%,31%,No data available,No data available,3.02%,0:45,4.9%,0.54%,No data available,98,20.51%,Not enough data available,0:04,98,No data available,0.0%,48%,18%,93%,5.38,14%,16%,48%,6%,10%
H3923,Capital Advantage Insurance Company,CAPITAL ADVANTAGE INSURANCE COMPANY,Capital BlueCross,67%,92%,60%,97%,92%,81%,35%,91%,0:12,73%,97%,0.00%,76%,83%,49%,2%,62%,50%,40%,90%,91%,39%,41%,88%,66.67%,0.00%,0:12,4.7%,0.72%,100%,No data available,27.73%,78%,0:10,99,0.0%,0.0%,48%,21%,94%,0.99,11%,9%,47%,6%,9%
H3924,Geisinger Gold,GEISINGER INDEMNITY INSURANCE COMPANY,Geisinger Health System,84%,85%,63%,96%,92%,80%,53%,92%,0:16,80%,97%,0.42%,88%,89%,35%,3%,56%,40%,35%,89%,94%,53%,31%,83%,60.00%,0.90%,0:22,4.7%,0.22%,96%,98,13.79%,87%,0:10,98,No data available,0.0%,32%,14%,92%,2.60,3%,2%,22%,No data available,No data available
H3928,Coventry Health Care,"AETNA HEALTH, INC.",Aetna Inc.,Not enough data available,78%,Not enough data available,Not enough data available,94%,No data available,Not enough data available,No data available,0:07,No data available,98%,4.13%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,2.56%,0:05,3.3%,1.45%,96%,99,No data available,No data available,0:10,97,No data available,0.0%,No data available,No data available,97%,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available
H3931,Aetna Medicare,"AETNA HEALTH, INC, (PA)",Aetna Inc.,46%,84%,56%,93%,91%,79%,38%,91%,0:19,75%,96%,0.00%,79%,87%,44%,7%,57%,49%,42%,84%,Not enough data available,44%,36%,91%,100.00%,0.00%,0:19,5.3%,0.57%,96%,98,19.70%,82%,0:19,98,0.0%,0.0%,50%,19%,96%,1.43,15%,11%,42%,12%,10%
H3945,Cigna-HealthSpring,CIGNA HEALTH AND LIFE INSURANCE COMPANY,CIGNA,Not enough data available,79%,Not enough data available,Not enough data available,92%,No data available,Not enough data available,Not enough data available,0:07,47%,92%,4.14%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,49%,36%,32%,96%,Not enough data available,61%,No data available,No data available,No data available,4.14%,0:07,5.9%,0.00%,100%,95,No data available,Not enough data available,0:03,98,No data available,0.0%,26%,16%,96%,7.11,43%,61%,14%,17%,31%
H3949,Cigna-HealthSpring,"BRAVO HEALTH PENNSYLVANIA, INC.",CIGNA,35%,79%,38%,92%,92%,66%,36%,Not enough data available,0:07,62%,95%,2.93%,79%,88%,34%,2%,57%,53%,46%,80%,Not enough data available,56%,33%,40%,71.43%,2.93%,0:07,4.8%,0.69%,100%,98,18.04%,Not enough data available,0:03,98,0.0%,0.0%,54%,39%,96%,3.87,16%,31%,32%,14%,12%
H3952,Keystone 65 HMO,"KEYSTONE HEALTH PLAN EAST, INC.","Independence Health Group, Inc.",52%,90%,58%,90%,91%,77%,35%,93%,0:02,76%,94%,3.21%,70%,78%,50%,3%,53%,46%,38%,82%,Not enough data available,47%,31%,75%,71.43%,3.21%,0:02,5.0%,0.24%,100%,98,15.99%,Not enough data available,0:07,98,No data available,No data available,36%,16%,96%,1.06,9%,10%,40%,14%,5%
H3954,Geisinger Gold,GEISINGER HEALTH PLAN,Geisinger Health System,90%,85%,55%,96%,94%,77%,49%,92%,0:16,75%,97%,0.42%,79%,86%,30%,3%,57%,46%,34%,88%,94%,54%,39%,82%,81.48%,0.90%,0:22,4.1%,0.18%,96%,98,14.08%,Not enough data available,0:10,99,0.0%,0.0%,29%,17%,94%,2.50,27%,29%,33%,11%,12%
H3957,Highmark Choice Company,"KEYSTONE HEALTH PLAN WEST, INC.",Highmark Health,68%,72%,55%,94%,92%,76%,32%,92%,0:06,83%,97%,0.26%,79%,71%,39%,2%,51%,37%,31%,81%,90%,48%,41%,100%,86.67%,0.26%,0:06,6.7%,0.70%,100%,100,18.27%,85%,0:11,98,No data available,No data available,37%,15%,94%,0.42,5%,13%,43%,7%,6%
H3959,HealthAmerica,"HEALTHAMERICA PENNSYLVANIA, INC.",Aetna Inc.,53%,66%,62%,92%,91%,78%,46%,92%,0:11,75%,96%,2.00%,74%,80%,30%,3%,54%,49%,42%,80%,Not enough data available,52%,35%,93%,No data available,1.84%,0:17,5.2%,0.64%,96%,98,19.24%,Not enough data available,0:11,98,0.0%,13.3%,40%,16%,98%,CMS Found Issues with Plan's Data,16%,21%,25%,7%,10%
H3962,"Keystone Health Plan Central, Inc.","KEYSTONE HEALTH PLAN CENTRAL, INC.",Capital BlueCross,55%,92%,61%,93%,93%,75%,30%,92%,0:20,80%,98%,1.84%,75%,78%,45%,2%,54%,47%,35%,91%,91%,46%,38%,67%,100.00%,1.84%,0:20,5.7%,0.56%,100%,No data available,20.44%,84%,0:10,99,0.0%,0.0%,51%,20%,96%,0.74,18%,15%,31%,10%,7%
H3979,Blue Cross Blue Shield of OK,"GHS HEALTH MAINTENANCE ORGANIZATION, INC.",Health Care Service Corporation,Not enough data available,85%,Not enough data available,Not enough data available,79%,No data available,Not enough data available,No data available,0:15,No data available,91%,1.06%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100%,No data available,1.06%,0:15,5.9%,0.80%,100%,99,No data available,No data available,0:05,98,0.0%,0.0%,No data available,No data available,96%,No Data Available,36%,47%,9%,10%,21%
H4003,Medicare y Mucho Mßs,"MMM HEALTHCARE, LLC.",InnovaCare Inc.,74%,86%,33%,74%,94%,78%,32%,93%,0:11,22%,97%,0.00%,43%,56%,16%,1%,55%,54%,40%,74%,Not enough data available,62%,36%,75%,100.00%,0.00%,0:11,5.1%,0.65%,100%,99,No data available,Not enough data available,0:05,97,0.0%,0.0%,44%,42%,98%,0.29,11%,27%,22%,18%,12%
H4004,PMC Medicare Choice,"PMC MEDICARE CHOICE, LLC",InnovaCare Inc.,71%,86%,31%,80%,93%,69%,33%,93%,0:07,19%,99%,0.00%,42%,56%,14%,1%,50%,55%,40%,69%,Not enough data available,61%,34%,No data available,No data available,0.00%,0:07,6.0%,0.67%,100%,98,No data available,Not enough data available,0:05,97,0.0%,0.0%,37%,41%,99%,0.16,10%,17%,27%,15%,9%
H4005,Triple-S Advantage,"TRIPLE-S ADVANTAGE, INC.",Triple-S Management Corporation,66%,82%,40%,73%,94%,88%,49%,94%,0:02,42%,96%,4.00%,42%,60%,36%,2%,72%,70%,57%,77%,Not enough data available,74%,40%,100%,No data available,4.29%,0:01,5.2%,0.49%,96%,100,No data available,Not enough data available,0:01,97,No data available,0.0%,44%,37%,87%,0.96,9%,5%,63%,12%,13%
H4007,"HUMANA HEALTH PLANS OF PUERTO RICO, INC.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,72%,90%,34%,84%,94%,70%,28%,95%,0:30,29%,97%,0.45%,42%,70%,12%,1%,55%,78%,51%,72%,Not enough data available,65%,Not enough data available,33%,100.00%,0.45%,0:30,3.8%,0.65%,100%,99,No data available,Not enough data available,0:04,98,No data available,No data available,44%,40%,98%,CMS Found Issues with Plan's Data,22%,22%,16%,17%,19%
H4011,First +Plus,"MMM HEALTHCARE, LLC.",InnovaCare Inc.,77%,CMS Found Issues with Plan’s Data,23%,74%,94%,78%,45%,93%,0:12,20%,84%,1.32%,32%,51%,32%,1%,56%,49%,37%,68%,Not enough data available,63%,36%,No data available,No data available,1.32%,0:12,4.1%,0.14%,92%,99,No data available,Not enough data available,0:05,97,No data available,0.0%,37%,29%,No data available,0.39,10%,20%,33%,16%,8%
H4036,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,Not enough data available,81%,66%,Not enough data available,93%,79%,Not enough data available,Not enough data available,1:12,79%,95%,1.57%,Not enough data available,Not enough data available,38%,8%,58%,46%,42%,91%,Not enough data available,53%,35%,No data available,No data available,1.57%,1:12,4.5%,0.78%,100%,103,28.57%,Not enough data available,0:09,97,No data available,0.0%,34%,14%,98%,1.29,11%,6%,47%,7%,10%
H4102,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealth Group, Inc.",74%,85%,52%,91%,91%,80%,41%,91%,0:45,75%,96%,3.80%,80%,79%,41%,6%,60%,46%,38%,84%,Not enough data available,48%,35%,100%,No data available,3.80%,0:45,5.4%,1.23%,No data available,99,12.44%,Not enough data available,0:04,98,0.0%,0.0%,56%,22%,96%,5.62,16%,30%,35%,10%,10%
H4141,"Humana Employers Health Plan of Georgia, Inc.","HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.",Humana Inc.,45%,93%,55%,89%,94%,70%,36%,Not enough data available,0:32,70%,96%,0.39%,75%,80%,25%,1%,60%,53%,45%,83%,Not enough data available,49%,34%,100%,No data available,0.39%,0:32,4.7%,1.02%,100%,99,18.52%,Not enough data available,0:04,98,No data available,No data available,52%,35%,97%,CMS Found Issues with Plan's Data,25%,39%,12%,9%,13%
H4145,"Humana Regional Health Plan, Inc.","HUMANA REGIONAL HEALTH PLAN, INC.",Humana Inc.,Not enough data available,93%,Not enough data available,Not enough data available,91%,No data available,Not enough data available,No data available,0:27,No data available,95%,0.39%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,100%,100.00%,0.39%,0:27,1.9%,0.00%,100%,99,No data available,No data available,0:04,98,No data available,No data available,No data available,No data available,97%,CMS Found Issues with Plan's Data,36%,31%,13%,9%,16%
