2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Calls Disconnected When Customer Calls Health Plan  - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer Used during Office Visits - DMC19,Computer Use by Doctor Helpful - DMC20,Computer Use Made Talking with Doctor Easier - DMC21,Improving Bladder Control - DMC22,Medication Reconciliation Post Discharge - DMC23,Hospitalization for Potentially Preventable Complications - DMC24,Statin Therapy for Patients with Cardiovascular Disease - DMC25,Medication Management for People With Asthma - DMC26,Asthma Medication Ratio - DMC27,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan  - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Statin Use in Persons with Diabetes (SUPD) - DMD17,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H2406,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,100%,Not enough data available,Not enough data available,No data available,0:11,No data available,98%,0.66%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.66%,0:11,13%,0.00%,100%,No data available,16.45%,No data available,0:10,94,No data available,No data available,No data available,No data available,78%,No data available,0.19,No data available,No data available,No data available,No data available,No data available
H2411,Fallon Health,FALLON COMMUNITY HEALTH PLAN,Fallon Community Health Plan,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,100%,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2416,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,Not enough data available,81%,Not enough data available,98%,62%,20%,91%,0:19,83%,99%,0.00%,69%,83%,Not enough data available,Not enough data available,45%,38,27,85,Not enough data available,45,42%,8%,66,74%,Not enough data available,Not enough data available,100%,No data available,0.00%,0:19,12%,0.59%,100%,100,13.75%,Not enough data available,0:10,99,No data available,13.3%,14,15,77%,No data available,0.17,No data available,No data available,No data available,No data available,No data available
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County Health & Human Services,Not enough data available,Not enough data available,Not enough data available,97%,Plan too small to be measured,Not enough data available,No data available,0:06,No data available,98%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,70%,80,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:06,6%,0.00%,100%,99,6.17%,No data available,0:10,97,No data available,0.0%,No data available,No data available,89%,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Not enough data available,75%,Not enough data available,96%,67%,Not enough data available,Not enough data available,0:49,86%,98%,0.00%,63%,78%,Not enough data available,Not enough data available,46%,36,25,92,Not enough data available,49,48%,13%,78,89%,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:49,7%,1.13%,100%,100,12.39%,Not enough data available,0:06,98,No data available,6.7%,17,15,86%,No data available,1.25,No data available,No data available,No data available,No data available,No data available
H2422,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Not enough data available,64%,Not enough data available,96%,54%,25%,93%,0:21,79%,98%,0.00%,69%,88%,40%,7%,63%,48,40,92,Not enough data available,55,48%,85%,46,90%,57%,79%,No data available,No data available,0.00%,0:21,5%,0.00%,100%,102,19.20%,Not enough data available,0:04,98,No data available,6.7%,35,27,85%,No data available,3.08,No data available,No data available,No data available,No data available,No data available
H2425,Blue Plus,BLUE PLUS,"Aware Integrated, Inc.",Not enough data available,72%,95%,97%,70%,16%,91%,1:04,85%,99%,0.00%,78%,91%,53%,4%,54%,44,33,85,Not enough data available,51,52%,25%,79,86%,55%,71%,95%,100.00%,0.00%,1:04,8%,0.72%,100%,100,12.99%,Not enough data available,0:05,99,0.0%,0.0%,20,21,82%,No data available,0.61,No data available,No data available,No data available,No data available,No data available
H2450,Medica Insurance Company,MEDICA INSURANCE COMPANY,Medica Holding Company,78%,68%,95%,83%,80%,39%,92%,Not enough data available,81%,96%,Not enough data available,81%,84%,39%,4%,51%,35,28,95,94,52,49%,6%,50,83%,58%,88%,97%,100.00%,No data available,No data available,5%,0.37%,100%,99,10.08%,93,No data available,99,0.0%,0.0%,18,12,82%,No data available,0.19,5%,3%,48%,12%,5%
H2456,UCare's MSHO,UCARE MINNESOTA,UCare Minnesota,65%,51%,90%,93%,59%,23%,91%,0:53,81%,98%,0.78%,78%,90%,51%,4%,55%,50,38,91,Not enough data available,48,53%,12%,63,84%,55%,64%,100%,100.00%,0.78%,0:53,7%,0.14%,100%,100,12.48%,Not enough data available,0:17,98,0.0%,20.0%,36,23,84%,No data available,1.01,12%,18%,16%,13%,12%
H2458,Medica Health Plans,MEDICA HEALTH PLANS,Medica Holding Company,79%,67%,89%,96%,62%,21%,Not enough data available,2:12,80%,98%,0.78%,80%,90%,41%,2%,59%,45,34,87,Not enough data available,52,47%,8%,60,82%,62%,70%,100%,No data available,0.78%,2:12,7%,0.31%,100%,99,15.75%,Not enough data available,0:04,99,0.0%,20.0%,30,28,82%,No data available,0.16,No data available,No data available,No data available,No data available,No data available
H2459,UCare,UCARE MINNESOTA,UCare Minnesota,71%,65%,93%,93%,86%,38%,92%,1:02,86%,96%,0.00%,83%,86%,43%,4%,53%,35,37,95,94,44,47%,15%,53,82%,54%,89%,84%,75.00%,0.00%,1:02,4%,0.35%,100%,99,10.83%,Not enough data available,0:17,98,0.0%,73.3%,20,7,83%,90%,0.83,8%,8%,47%,9%,5%
H2461,Blue Cross and Blue Shield of Minnesota,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,"Aware Integrated, Inc.",71%,76%,92%,90%,83%,41%,92%,Not enough data available,84%,96%,Not enough data available,77%,84%,40%,4%,51%,28,31,93,96,50,51%,29%,61,85%,69%,94%,88%,100.00%,No data available,No data available,4%,0.35%,100%,100,15.83%,Not enough data available,No data available,99,0.0%,0.0%,22,12,82%,No data available,1.62,7%,3%,31%,9%,10%
H2462,HealthPartners,"GROUP HEALTH PLAN, INC. (MN)","HealthPartners, Inc.",57%,70%,95%,86%,86%,45%,93%,Not enough data available,88%,97%,Not enough data available,78%,85%,32%,3%,58%,36,39,95,96,53,48%,72%,38,87%,72%,90%,100%,100.00%,No data available,No data available,4%,0.15%,100%,103,12.73%,90,No data available,98,0.0%,13.3%,21,7,85%,No data available,5.01,9%,6%,39%,7%,6%
H2470,Fallon Health Weinberg,"FALLON HEALTH WEINBERG, INC.",Fallon Community Health Plan,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:04,No data available,Not enough data available,3.15%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,3.15%,0:04,No data available,No data available,100%,No data available,No data available,No data available,0:10,99,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2486,"Humana Medical Plan of Utah, Inc.","HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,61%,56%,Not enough data available,90%,70%,30%,91%,0:38,75%,93%,3.10%,Not enough data available,Not enough data available,33%,2%,64%,52,43,90,97,61,47%,9%,47,80%,Not enough data available,74%,No data available,100.00%,3.10%,0:38,5%,0.34%,100%,100,10.00%,Not enough data available,0:04,98,0.0%,0.0%,42,25,74%,98%,CMS identified issues with this plan's data,33%,48%,14%,12%,18%
H2491,WellCare Health Plan,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.","WellCare Health Plans, Inc.",57%,41%,85%,93%,58%,25%,89%,0:40,53%,94%,1.19%,75%,88%,33%,5%,63%,55,47,85,Not enough data available,64,42%,8%,72,75%,54%,64%,100%,100.00%,1.19%,0:40,5%,0.08%,100%,100,9.68%,Not enough data available,0:30,98,No data available,No data available,58,47,79%,98%,CMS identified issues with this plan's data,35%,37%,17%,15%,20%
H2506,Aetna Better Health Premier Plan,"AETNA BETTER HEALTH, INC. (IL)",Aetna Inc.,50%,97%,Not enough data available,89%,Not enough data available,Not enough data available,Not enough data available,0:21,54%,81%,2.42%,55%,73%,39%,8%,56%,51,40,90,Not enough data available,Not enough data available,Not enough data available,4%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,100%,100.00%,2.42%,0:21,6%,0.49%,100%,100,21.60%,Not enough data available,0:02,99,No data available,No data available,45,28,76%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H2531,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE COMMUNITY PLAN OF OHIO, INC.","UnitedHealth Group, Inc.",77%,77%,81%,94%,No data available,Not enough data available,Not enough data available,0:20,60%,95%,0.00%,68%,86%,41%,6%,58%,46,43,83,Not enough data available,53,No data available,5%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,100%,No data available,0.00%,0:20,8%,0.49%,100%,98,19.85%,Not enough data available,0:10,99,No data available,No data available,52,36,75%,No data available,11.57,No data available,No data available,No data available,No data available,No data available
H2533,Molina Healthcare of South Carolina,"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,0:19,No data available,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2563,Optima Medicare,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),Not enough data available,65%,Not enough data available,97%,88%,Not enough data available,93%,0:16,85%,99%,0.79%,Not enough data available,Not enough data available,46%,0%,64%,49,45,93,95,56,42%,56%,39,71%,Not enough data available,Not enough data available,33%,No data available,0.79%,0:16,4%,0.00%,100%,99,No data available,Not enough data available,0:27,98,No data available,0.0%,51,31,76%,100%,1.72,22%,34%,38%,14%,14%
H2591,Health Alliance Medicare,"HEALTH ALLIANCE - MIDWEST, INC.",The Carle Foundation,Not enough data available,Not enough data available,Not enough data available,90%,No data available,Not enough data available,No data available,0:18,No data available,93%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:18,No data available,No data available,100%,No data available,No data available,No data available,0:58,98,No data available,No data available,No data available,No data available,No data available,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H2593,"CareMore Health Plan of Arizona, Inc.","CAREMORE HEALTH PLAN OF ARIZONA, INC.",Anthem Inc.,69%,56%,85%,94%,83%,37%,87%,0:15,78%,94%,0.36%,73%,81%,11%,1%,65%,53,39,88,Not enough data available,50,44%,10%,33,77%,56%,71%,50%,100.00%,0.36%,0:15,6%,0.30%,96%,99,17.24%,82,0:22,97,No data available,0.0%,32,16,78%,100%,4.45,28%,27%,11%,12%,16%
H2610,Essence Healthcare,"ESSENCE HEALTHCARE, INC.",Essence Group Holdings Corporation,46%,61%,95%,95%,83%,45%,91%,0:04,80%,98%,0.00%,79%,78%,11%,1%,56%,36,32,88,94,51,53%,17%,30,67%,32%,82%,73%,100.00%,0.00%,0:04,4%,0.79%,100%,101,12.50%,89,0:04,97,No data available,No data available,25,16,79%,99%,1.66,25%,44%,12%,11%,11%
H2649,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,48%,50%,88%,93%,78%,32%,Not enough data available,0:38,78%,95%,2.82%,73%,80%,28%,1%,63%,49,48,91,Not enough data available,53,45%,15%,53,74%,51%,71%,96%,100.00%,2.82%,0:38,4%,0.67%,100%,99,16.74%,Not enough data available,0:04,98,0.0%,6.7%,50,29,74%,97%,CMS identified issues with this plan's data,26%,31%,34%,15%,18%
H2654,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDWEST, INC.","UnitedHealth Group, Inc.",55%,55%,93%,91%,78%,33%,Not enough data available,0:13,82%,95%,0.70%,78%,77%,36%,4%,62%,57,44,94,Not enough data available,53,46%,15%,44,73%,64%,79%,100%,No data available,0.70%,0:13,5%,0.20%,100%,99,10.34%,Not enough data available,0:10,98,No data available,No data available,45,21,75%,97%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H2663,Coventry Health Care,"COVENTRY HEALTH CARE OF MISSOURI, INC",Aetna Inc.,57%,63%,96%,92%,83%,41%,91%,1:49,79%,97%,1.98%,80%,81%,22%,3%,56%,44,38,89,Not enough data available,50,48%,21%,53,76%,61%,81%,92%,No data available,1.32%,0:36,5%,0.51%,100%,101,16.83%,Not enough data available,0:23,96,0.0%,0.0%,32,16,75%,99%,CMS identified issues with this plan's data,15%,18%,28%,10%,11%
H2667,Coventry Health Care,"COVENTRY HEALTH CARE OF MISSOURI, INC",Aetna Inc.,49%,52%,93%,92%,79%,33%,93%,2:01,79%,96%,0.79%,80%,78%,20%,1%,63%,39,36,97,98,47,40%,27%,69,70%,55%,80%,50%,No data available,1.46%,0:25,5%,0.34%,100%,99,15.63%,Not enough data available,0:23,95,0.0%,0.0%,18,10,71%,99%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H2672,Coventry Health Care,"COVENTRY HEALTH CARE OF MISSOURI, INC.",Aetna Inc.,61%,62%,92%,92%,74%,38%,89%,2:01,80%,95%,0.79%,77%,81%,25%,4%,64%,45,36,88,Not enough data available,51,44%,15%,71,79%,62%,70%,100%,No data available,1.46%,0:25,5%,0.37%,100%,99,14.29%,Not enough data available,0:23,96,0.0%,0.0%,30,16,73%,98%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
