2020 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3810,Local CCP,"Allcare Health Plan, Inc.",AllCare Advantage,"AllCare Health, Inc.",3,4,4,4,Not enough data available,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3811,Local CCP,"Samaritan Health Plans, Inc.",Samaritan Advantage Health Plan,Samaritan Health Services,3,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3813,Local CCP,"Moda Health Plan, Inc.","Moda Health Plan, Inc.","Moda Partners, Inc.",4,3,3,4,4,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3814,Local CCP,Atrio Health Plans,ATRIO Health Plans,ATRIO Health Plans,2,3,3,4,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3815,Local CCP,Alignment Health Plan,Alignment Health Plan,"Alignment Healthcare USA, LLC",4,5,3,5,4,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3817,Local CCP,Regence Bluecross Blueshield Of Oregon,Regence BlueCross BlueShield of Oregon,"Cambia Health Solutions, Inc.",4,4,4,5,5,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3822,Local CCP,Health Care Service Corporation,"Blue Cross and Blue Shield of IL, NM",Health Care Service Corporation,4,3,2,4,3,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3832,Local CCP,Hawaii Medical Service Association,HMSA Akamai Advantage,Hawaii Medical Service Association,4,4,3,4,4,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3864,Local CCP,Pacificsource Community Health Plans,PacificSource Medicare,PacificSource,4,3,4,5,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3890,Local CCP,"Hopkins Health Advantage, Inc.",Johns Hopkins HealthCare,Johns Hopkins Healthcare LLC,3,3,3,4,3,5,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3907,Local CCP,"Upmc Health Plan, Inc.",UPMC for Life,UPMC Health System,3,3,5,5,5,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3909,Local CCP,Qcc Insurance Company,Personal Choice 65 PPO,"Independence Health Group, Inc.",4,3,4,4,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3916,Local CCP,Highmark Senior Health Company,Highmark Inc.,Highmark Health,4,4,4,4,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3923,Local CCP,Capital Advantage Insurance Company,Capital Advantage Insurance Company,Capital BlueCross,4,3,4,4,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3924,Local CCP,Geisinger Indemnity Insurance Company,Geisinger Gold,Geisinger Health,3,3,4,4,5,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3928,Local CCP,"Aetna Health, Inc. (la)",Aetna Medicare,CVS Health Corporation,3,4,4,3,Not enough data available,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3930,Local CCP,"Spartan Plan Ny, Inc.",Sunrise Advantage Plan,Public Sector Pension Investment Board,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3931,Local CCP,Aetna Health Inc. (pa),Aetna Medicare,CVS Health Corporation,3,3,3,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3949,Local CCP,"Bravo Health Pennsylvania, Inc.",Cigna,CIGNA,4,4,4,5,5,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3952,Local CCP,"Keystone Health Plan East, Inc.",Keystone 65 HMO,"Independence Health Group, Inc.",4,3,4,5,4,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3954,Local CCP,Geisinger Health Plan,Geisinger Gold,Geisinger Health,4,4,4,4,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3957,Local CCP,Highmark Choice Company,Highmark Inc.,Highmark Health,4,4,4,4,5,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3959,Local CCP,Aetna Health Inc. (pa),Aetna Medicare,CVS Health Corporation,3,4,5,4,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3962,Local CCP,"Keystone Health Plan Central, Inc.","Keystone Health Plan Central, Inc.",Capital BlueCross,3,3,4,4,5,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3979,Local CCP,"Ghs Health Maintenance Organization, Inc.",Blue Cross and Blue Shield of Oklahoma,Health Care Service Corporation,3,3,4,3,3,5,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4003,Local CCP,"Mmm Healthcare, Llc",Medicare y Mucho Mßs,InnovaCare Inc.,4,4,3,5,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4004,Local CCP,"Mmm Healthcare, Llc",PMC Medicare Choice,InnovaCare Inc.,4,4,3,4,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4005,Local CCP,"Triple S Advantage, Inc.",Triple-S Advantage,Triple-S Management Corporation,4,3,3,4,4,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4007,Local CCP,"Humana Health Plans Of Puerto Rico, Inc.",Humana,Humana Inc.,4,4,3,4,Not enough data available,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4036,Local CCP,"Anthem Insurance Companies, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,4,3,4,4,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4091,Local CCP,"Simpra Advantage, Inc.",Simpra Advantage,"SeniorSelect Partners, Inc",Not enough data available,Not enough data available,Not enough data available,5,Not enough data available,4,5,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4093,Local CCP,"Provider Partners Health Plan Of Pennsylvania, Inc",Provider Partners Pennsylvania Advantage Plan,"Rifkin Managed Care Holding Company, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4094,Local CCP,"Optimum Choice, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4140,Local CCP,"Doctors Healthcare Plans, Inc.","Doctors HealthCare Plans, Inc.","DOCTORS HEALTHCARE PLANS, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4141,Local CCP,"Humana Employers Health Plan Of Georgia, Inc.",Humana,Humana Inc.,4,4,4,4,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4152,Local CCP,Blue Cross & Blue Shield Of Rhode Island,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,4,3,3,4,4,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4172,Local CCP,"Nhc Advantage, Llc",NHC Advantage,"Missouri Healthcare Advisors, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4198,Local CCP,"Communitycare Government Programs, Inc.",CommunityCare Advantage Medicare Plan (HMO),St Francis Health System & St John Health System,4,3,4,4,Not enough data available,5,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4213,PFFS,Usable Mutual Insurance Company,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,3,2,3,3,Not enough data available,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4227,Local CCP,"Vista Health Plan, Inc.",VISTA Health Plan Inc.,"Independence Health Group, Inc.",4,4,4,5,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4236,Local CCP,"Spartan Plan Pa, Inc.",Sunrise Advantage Plan,Public Sector Pension Investment Board,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4279,Local CCP,"Upmc For You, Inc",UPMC for Life Dual,UPMC Health System,3,3,4,4,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4346,Local CCP,"Hmo Colorado, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,3,4,2,3,5,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4388,MSA,"Security Health Plan Of Wisconsin, Inc.","Security Health Plan of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.",2,2,3,3,5,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4407,Local CCP,Healthspring Life & Health Insurance Company,Cigna,CIGNA,3,4,5,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4461,Local CCP,Cariten Health Plan Inc.,Humana,Humana Inc.,4,4,5,4,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4490,Local CCP,"Missouri Medicare Select, Llc",Missouri Medicare Select (HMO SNP),"American Health Companies, Inc",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4497,Local CCP,Medical Mutual Of Ohio,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,4,3,5,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4506,Local CCP,"Selectcare Of Texas, Inc.",WellCare,"WellCare Health Plans, Inc.",4,3,3,4,5,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4513,Local CCP,"Healthspring Life & Health Insurance Company, Inc.",Cigna,CIGNA,4,4,4,4,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4514,Local CCP,"Unitedhealthcare Community Plan Of Texas, L.l.c.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,3,3,5,5,5,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4523,Local CCP,Aetna Health Inc. (tx),Aetna Medicare,CVS Health Corporation,3,4,2,4,5,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4527,Local CCP,"Physicians Health Choice Of Texas, Llc",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,3,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4590,Local CCP,"Unitedhealthcare Benefits Of Texas, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,5,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4604,Local CCP,"Unitedhealthcare Of Utah, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4605,Local CCP,Regence Bluecross Blueshield Of Utah,Regence BlueCross BlueShield of Utah,"Cambia Health Solutions, Inc.",4,4,5,5,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4623,Local CCP,"Humana Regional Health Plan, Inc.",Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4672,Local CCP,Medicare Advantage Insurance Company Of Omaha,Mutual of Omaha Medicare Advantage,Mutual of Omaha Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4676,Local CCP,"Troy Health, Inc.",Troy Medicare,"TROY HEALTH, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4709,Local CCP,Bright Health Insurance Company Of Florida,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4711,Local CCP,"Coventry Health Care Of Nebraska, Inc.",Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4754,Local CCP,Pacificsource Community Health Plans,PacificSource Medicare,PacificSource,3,3,4,4,4,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4778,Local CCP,"Spartan Plan Il, Inc.",Sunrise Advantage Plan,Public Sector Pension Investment Board,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4835,Local CCP,"Aetna Better Health Of Oklahoma, Inc.",Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4847,Local CCP,"Wellcare Of South Carolina, Inc.",WELLCARE,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4853,Local CCP,Bright Health Company Of Arizona,Bright Health,"Bright Health, Inc.",Not enough data available,Not enough data available,2,3,Not enough data available,5,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4868,Local CCP,"Wellcare Of New York, Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4875,Local CCP,Priority Health,Priority Health Medicare,Spectrum Health System,4,4,3,4,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4882,Local CCP,"Healthpartners, Inc.",HealthPartners,"HealthPartners, Inc.",5,Not enough data available,4,4,Not enough data available,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4909,Local CCP,"Anthem Insurance Companies, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,4,4,4,4,4,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4922,Local CCP,"Agewell New York, Llc",AgeWell New York,"ParkerCare New York, LLC",3,3,2,4,3,5,5,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4931,Local CCP,Banner - University Care Advantage,Banner - University Care Advantage,Banner Health,3,3,3,4,4,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4937,Local CCP,California Physicians' Service,Blue Shield of California,California Physicians' Service,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4961,Local CCP,Alignment Health Plan,Alignment Health Plan,"Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H4982,Local CCP,Aetna Better Health Of California Inc.,Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5008,Local CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,2,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5009,Local CCP,Regence Blueshield,Regence BlueShield,"Cambia Health Solutions, Inc.",4,3,4,4,5,4,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5010,Local CCP,Asuris Northwest Health,Asuris Northwest Health,"Cambia Health Solutions, Inc.",4,Not enough data available,4,4,Not enough data available,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5015,Local CCP,"Texas Independence Health Plan, Inc.",Texas Independence Health Plan,Regency ISNP Holdings LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5042,Local CCP,"Cdphp Universal Benefits, Inc.",CDPHP Medicare Advantage,"Capital District Physicians' Health Plan, Inc.",5,4,5,4,4,Not enough data available,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5050,Local CCP,Kaiser Foundation Health Plan Of Washington,Kaiser Foundation Health Plan of Washington,"Kaiser Foundation Health Plan, Inc.",5,4,4,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5087,Local CCP,"Wellcare Of California, Inc.",WellCare,"WellCare Health Plans, Inc.",4,4,Not enough data available,3,4,5,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5106,Local CCP,Highmark Senior Solutions Company,Highmark Inc.,Highmark Health,3,3,4,5,5,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5117,Local CCP,"Louisiana Healthcare Connections, Inc.",Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5126,Local CCP,Oscar Insurance Company,Oscar,"Mulberry Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5140,Local CCP,"Blue Cross And Blue Shield Of Arizona, Inc.",Blue Cross Blue Shield of Arizona,Blue Cross Blue Shield of Arizona,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5141,Local CCP,Clover Insurance Company,Clover Health,"Clover Health Holdings, Inc.",3,4,2,4,4,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5172,Demo,Community Health Group,Community Health Group,Community Health Group,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5178,Local CCP,"Humana Health Plan, Inc.",Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5190,Local CCP,"Sunshine State Health Plan, Inc.",Allwell,Centene Corporation,3,3,3,3,Not enough data available,5,2,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5199,Local CCP,"Wellcare Health Insurance Of Arizona, Inc.",WellCare,"WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
