2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H1889,UnitedHealthcare,"Unitedhealthcare Of Florida, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1894,AMERIGROUP,"Amerigroup Washington, Inc.",Anthem Inc.,Not enough data available,67%,Not enough data available,70%,Not enough data available,Not enough data available,01:25,77%,91%,0.96%,Not enough data available,Not enough data available,48%,8%,32,Not enough data available,59%,46%,44%,17%,80%,20%,40%,No data available,No data available,0.96%,01:25,0%,0.69%,100%,100,00:04,85,42%,28%,5%,19%,19%,No data available,0.00,87,CMS identified issues with this plan's data,28%,37%,17%,7%,17%,60
H1914,WellCare,Wellcare Health Insurance Of Connecticut,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1924,Lasso Healthcare,"Port Holdings, Inc.","Port Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1944,UnitedHealthcare,"Unitedhealthcare Of New England, Inc.","UnitedHealth Group, Inc.",56%,64%,90%,81%,36%,90,00:22,75%,96%,3.30%,76%,75%,43%,6%,43,99%,74%,54%,55%,16%,82%,5%,39%,100%,100.00%,3.30%,00:22,2%,0.04%,96%,101,00:26,94,53%,23%,8%,10%,8%,20%,0.59,94,5.00,19%,30%,30%,11%,13%,100
H1947,Healthy Blue,"Community Care Health Plan Of Louisiana, Inc.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1951,Humana,"Humana Health Benefit Plan Of Louisiana, Inc.",Humana Inc.,46%,57%,85%,81%,34%,93,00:19,76%,97%,1.60%,75%,82%,30%,3%,46,96%,86%,58%,48%,0%,86%,0%,34%,98%,100.00%,1.60%,00:19,2%,0.37%,100%,100,00:10,93,63%,38%,12%,11%,10%,19%,0.47,97,0.70,20%,23%,31%,9%,12%,100
H1961,Peoples Health,"Peoples Health, Inc.","UnitedHealth Group, Inc.",39%,55%,86%,74%,61%,94,00:22,74%,97%,0.00%,72%,78%,16%,2%,41,98%,82%,56%,97%,75%,89%,52%,78%,86%,100.00%,0.00%,00:22,4%,0.06%,100%,101,00:17,92,60%,40%,7%,10%,9%,12%,0.16,92,5.69,21%,32%,11%,17%,14%,100
H1969,Regence BlueShield of Idaho,Regence Blueshield Of Idaho,"Cambia Health Solutions, Inc.",Not enough data available,57%,Not enough data available,81%,Not enough data available,94,00:20,77%,94%,0.68%,Not enough data available,Not enough data available,63%,7%,15,Not enough data available,72%,61%,58%,5%,78%,3%,36%,100%,100.00%,0.68%,00:20,4%,1.04%,100%,101,00:13,90,42%,24%,7%,11%,9%,No data available,0.00,94,27.79,9%,45%,17%,8%,8%,100
H1977,Upper Peninsula Health Plan (UPHP) MI Health Link,"Upper Peninsula Health Plan, Llc","DLP Marquette General Hospital, LLC",74%,50%,Not enough data available,64%,25%,Not enough data available,00:24,59%,95%,1.86%,67%,88%,17%,2%,45,99%,79%,59%,72%,25%,89%,31%,54%,No data available,No data available,5.00%,00:13,3%,0.29%,100%,101,00:10,72,40%,34%,15%,13%,7%,15%,0.00,83,0.74,Not Available,Not Available,Not Available,Not Available,Not Available,40
H1994,SelectHealth,"Selecthealth, Inc.","Intermountain Health Care, Inc.",55%,61%,80%,80%,38%,93,00:10,80%,96%,0.63%,65%,67%,51%,7%,26,100%,77%,72%,75%,70%,91%,55%,73%,100%,100.00%,0.63%,00:10,3%,0.50%,96%,99,00:15,72,36%,22%,12%,9%,9%,4%,0.52,87,0.84,13%,26%,27%,10%,6%,60
H1997,Regence BlueShield,Regence Blueshield,"Cambia Health Solutions, Inc.",Not enough data available,62%,Not enough data available,84%,Not enough data available,93,00:25,83%,97%,0.63%,Not enough data available,Not enough data available,25%,2%,26,100%,77%,65%,48%,1%,86%,0%,34%,100%,100.00%,0.63%,00:25,4%,1.51%,100%,102,00:13,90,42%,25%,8%,10%,10%,No data available,0.00,93,27.94,9%,67%,16%,7%,7%,100
H2001,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",55%,63%,87%,83%,40%,92,00:20,81%,98%,3.50%,73%,81%,35%,4%,38,99%,73%,58%,55%,13%,84%,3%,39%,97%,100.00%,3.50%,00:20,3%,0.20%,96%,101,00:26,92,56%,25%,6%,10%,9%,13%,0.23,94,3.57,8%,10%,20%,11%,9%,100
H2011,Bright Health,Bright Health Insurance Company Of Tennessee,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:27,Plan too new to be measured,Plan too new to be measured,2.34%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2.34%,00:27,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:21,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2020,Clear Spring Health,Delaware Life Insurance Company,Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:12,Plan too new to be measured,Plan too new to be measured,4.40%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.26%,00:04,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:05,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2029,Humana,"Humana Insurance Of Puerto Rico, Inc.",Humana Inc.,Not enough data available,Not enough data available,Not enough data available,77%,Not enough data available,Not enough data available,02:18,46%,95%,1.60%,Not enough data available,Not enough data available,12%,0%,29,Not enough data available,82%,46%,39%,0%,72%,0%,28%,No data available,No data available,1.60%,02:18,1%,0.41%,100%,100,00:10,93,51%,36%,8%,14%,14%,No data available,0.00,97,0.44,23%,17%,44%,19%,17%,100
H2032,Scott and White Health Plan,Insurance Company Of Scott And White,Baylor Scott & White Holdings,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,00:19,81%,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,24,Not enough data available,64%,57%,68%,15%,90%,49%,55%,0%,No data available,0.00%,00:19,4%,0.00%,100%,98,00:11,78,56%,31%,7%,12%,9%,No data available,0.00,82,19.52,6%,14%,29%,4%,6%,80
H2034,Community Care,"Community Care Health Plan, Inc.","Community Care, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,00:43,No data available,100%,1.56%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,86%,55%,86%,71%,94%,55%,76%,No data available,No data available,1.56%,00:43,8%,1.39%,96%,101,00:02,10,No data available,No data available,17%,15%,19%,No data available,0.00,95,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2056,Aetna Medicare,Aetna Better Health Of Michigan Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2108,Cigna,"Bravo Health Mid-atlantic, Inc.",CIGNA,30%,52%,89%,64%,36%,Not enough data available,00:11,64%,94%,0.63%,68%,81%,32%,3%,53,100%,73%,49%,64%,9%,81%,5%,40%,100%,100.00%,0.63%,00:11,3%,0.12%,100%,98,00:05,91,56%,42%,6%,8%,8%,5%,0.37,84,8.18,34%,38%,36%,Not Available,18%,100
H2120,BlueEssential,"Securitycare Of Tennessee, Inc.",BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
