2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Alcohol or other Drug Treatment - DMC12,Engagement of Alcohol or other Drug Treatment - DMC13,Hospitalization for Potentially Preventable Complications - DMC14,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Transitions of Care - Average - DMC20,Plan All-Cause Readmissions (18+) - DMC21,Plan All-Cause Readmissions (18-64) - DMC22,Plan All-Cause Readmissions (65+) - DMC23,Physical Functioning Activities of Daily Living - DMC24,Care of Older Adults - Functional Status - DMC25,Kidney Health Evaluation for Patients With Diabetes - DMC26,Improving or Maintaining Physical Health - DMC27,Improving or Maintaining Mental Health - DMC28,Cardiac Rehabiliation - Acheivement - DMC29,Cardiac Rehabiliation - Engagement 1 - DMC30,Cardiac Rehabiliation - Engagement 2 - DMC31,Cardiac Rehabilation - Initiation - DMC32,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H3344,Independent Health,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",Not enough data available,75%,Not enough data available,40%,90,0:10,84%,98%,0.00%,Not enough data available,Not enough data available,18%,0%,11%,60%,70%,40%,87%,34%,58%,10%,Not enough data available,10%,96%,Plan not required to report measure,54%,68%,83%,5%,8%,11%,0%,0.00%,0:10,100,0:10,87,39%,19%,8%,No data available,15.92%,5.80%,0.00%,3.07%,10.35%,11.33%,8.59,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3347,Elderplan,"ELDERPLAN, INC.","Elderplan, Inc.",36%,63%,Not enough data available,28%,No data available,1:09,58%,93%,1.03%,70%,90%,40%,9%,18%,47%,87%,9%,83%,8%,47%,12%,13%,11%,89%,96%,45%,68%,76%,0%,0%,0%,0%,1.03%,1:09,100,1:01,95,71%,63%,5%,1%,15.54%,6.48%,0.00%,9.19%,9.09%,23.69%,8.88,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3351,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",75%,67%,96%,33%,93,0:31,86%,97%,0.52%,84%,88%,33%,5%,15%,61%,74%,58%,88%,54%,69%,13%,12%,13%,98%,Plan not required to report measure,58%,70%,84%,1%,4%,5%,2%,0.52%,0:31,101,0:48,49,39%,14%,10%,13%,13.58%,6.51%,0.07%,7.55%,8.52%,10.67%,3.89,12%,10%,32%,8%,6%,100
H3359,Healthfirst Medicare Plan,"HEALTHFIRST HEALTH PLAN, INC.","Healthfirst, Inc.",80%,54%,88%,36%,No data available,0:12,62%,96%,0.00%,63%,93%,38%,9%,16%,54%,79%,35%,89%,32%,58%,12%,11%,12%,91%,76%,46%,69%,85%,0%,0%,0%,0%,0.00%,0:12,102,1:01,95,65%,59%,8%,3%,11.28%,10.20%,0.21%,9.68%,9.57%,15.01%,10.31,19%,21%,27%,19%,16%,100
H3362,Independent Health,"INDEPENDENT HEALTH ASSOCIATION, INC.","Independent Health Association, Inc.",67%,65%,94%,35%,92,0:10,83%,98%,0.00%,77%,86%,31%,5%,12%,60%,74%,41%,88%,33%,59%,10%,10%,10%,98%,98%,51%,70%,85%,2%,2%,4%,1%,0.00%,0:10,100,0:10,87,41%,21%,8%,6%,14.26%,4.94%,0.03%,6.47%,9.32%,17.57%,9.66,12%,13%,28%,7%,8%,100
H3379,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",55%,67%,91%,38%,No data available,0:29,70%,95%,1.54%,77%,73%,45%,6%,13%,61%,60%,11%,88%,9%,42%,11%,12%,11%,95%,98%,44%,63%,82%,1%,3%,3%,1%,1.54%,0:29,100,0:36,57,51%,27%,6%,4%,12.59%,6.39%,0.23%,8.23%,9.09%,14.07%,5.94,10%,8%,19%,7%,8%,100
H3384,Highmark BCBS of WNY and Highmark BS of NENY,Highmark Western and Northeastern New York Inc.,Highmark Health,72%,61%,95%,31%,93,3:40,77%,97%,1.06%,85%,89%,19%,3%,9%,63%,64%,19%,83%,10%,44%,10%,9%,10%,97%,Plan not required to report measure,51%,69%,82%,1%,4%,5%,1%,1.06%,3:40,101,0:48,48,42%,17%,8%,8%,12.37%,5.68%,0.04%,7.15%,8.72%,14.39%,4.58,10%,16%,19%,9%,5%,100
H3387,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW YORK, INC.","UnitedHealth Group, Inc.",55%,55%,89%,34%,No data available,0:58,66%,96%,2.84%,74%,89%,42%,11%,16%,55%,55%,11%,84%,9%,40%,13%,14%,13%,90%,78%,48%,68%,80%,1%,1%,1%,0%,2.84%,0:58,100,0:36,60,72%,66%,6%,5%,14.81%,8.82%,0.18%,11.05%,11.68%,13.53%,3.38,17%,37%,11%,Not Available,12%,100
H3388,CDPHP Medicare Advantage,"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC.","Capital District Physicians' Health Plan, Inc.",84%,68%,99%,37%,93,0:25,80%,98%,0.00%,79%,83%,23%,3%,12%,66%,74%,59%,90%,56%,70%,12%,9%,12%,96%,No data available,50%,68%,83%,2%,4%,4%,2%,0.00%,0:39,99,1:01,80,52%,17%,10%,5%,18.16%,5.82%,0.00%,7.01%,8.69%,12.99%,7.42,6%,9%,32%,7%,6%,80
H3404,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,45%,69%,97%,31%,92,2:19,80%,98%,1.05%,81%,84%,27%,3%,14%,58%,81%,48%,90%,40%,65%,13%,8%,14%,98%,Plan not required to report measure,43%,70%,83%,3%,8%,8%,4%,1.05%,2:19,100,0:30,65,56%,26%,8%,11%,19.23%,12.04%,0.20%,5.97%,11.36%,17.34%,2.99,7%,10%,35%,Not Available,6%,100
H3407,El Paso Health Advantage Dual SNP,"EL PASO FIRST HEALTH PLANS, INC.",El Paso County Hospital District,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:38,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:38,No data available,2:08,52,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3416,HealthPartners UnityPoint Health,"HEALTHPARTNERS UNITYPOINT HEALTH, INC.","HealthPartners UnityPoint Health, Inc.",Not enough data available,78%,Not enough data available,Not enough data available,95,0:52,77%,95%,1.09%,Not enough data available,Not enough data available,25%,6%,10%,62%,64%,53%,93%,45%,64%,14%,Not enough data available,Not enough data available,99%,Plan not required to report measure,52%,70%,82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,1.09%,0:52,100,0:37,92,39%,15%,11%,No data available,15.77%,2.49%,0.00%,8.92%,9.98%,6.02%,15.35,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3418,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",Not enough data available,46%,Not enough data available,43%,Plan too new to be measured,0:29,71%,96%,0.00%,79%,81%,29%,4%,Not enough data available,48%,57%,4%,87%,2%,38%,9%,Not enough data available,9%,Plan too new to be measured,Plan not required to report measure,63%,Plan too new to be measured,Plan too new to be measured,0%,0%,0%,0%,0.00%,0:29,100,0:36,59,52%,45%,5%,No data available,16.79%,13.51%,0.00%,4.07%,4.78%,6.72%,4.93,21%,34%,27%,9%,16%,100
H3419,Perennial Advantage,"PERENNIAL ADVANTAGE OF COLORADO, INC.","Perennial Consortium, LLC",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:13,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:13,No data available,2:08,51,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3442,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",58%,74%,94%,38%,Plan too new to be measured,0:29,75%,96%,0.00%,78%,83%,39%,8%,12%,61%,60%,11%,89%,10%,42%,11%,11%,11%,Plan too new to be measured,Plan not required to report measure,48%,Plan too new to be measured,Plan too new to be measured,4%,12%,10%,6%,0.00%,0:29,100,0:36,56,57%,26%,7%,9%,20.15%,10.01%,0.27%,7.28%,10.12%,9.46%,7.64,17%,17%,20%,Not Available,16%,100
H3443,Alignment Health Plan,"ALIGNMENT HEALTH PLAN OF ARIZONA, INC.","Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:40,Plan too new to be measured,Plan too new to be measured,0.84%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,3.97%,0:54,No data available,0:19,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3447,Anthem HealthKeepers,"HEALTHKEEPERS, INC.","Elevance Health, Inc.",50%,64%,91%,26%,No data available,0:36,59%,95%,2.56%,77%,83%,34%,5%,21%,53%,72%,0%,82%,0%,39%,14%,14%,14%,93%,63%,37%,65%,88%,1%,6%,4%,6%,2.24%,0:18,100,0:28,92,51%,32%,7%,9%,18.17%,5.75%,0.38%,11.48%,15.59%,16.09%,6.51,14%,15%,18%,Not Available,15%,100
H3449,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,43%,69%,87%,30%,92,2:32,74%,95%,0.00%,79%,87%,18%,3%,13%,56%,77%,37%,89%,30%,58%,12%,12%,12%,97%,Plan not required to report measure,38%,71%,79%,5%,11%,10%,5%,0.00%,2:32,100,0:30,64,51%,26%,8%,11%,16.23%,9.00%,0.10%,5.25%,11.35%,18.14%,3.23,6%,3%,21%,Not Available,8%,100
H3464,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",40%,65%,82%,26%,No data available,0:34,63%,95%,0.00%,69%,79%,38%,4%,15%,53%,57%,14%,86%,17%,43%,11%,11%,11%,97%,Plan not required to report measure,25%,76%,76%,6%,9%,8%,7%,0.00%,0:34,100,0:36,57,55%,30%,7%,11%,19.47%,3.54%,0.11%,11.09%,15.09%,18.20%,4.68,22%,17%,24%,Not Available,14%,100
H3467,ProCare Advantage,"PROCARE ADVANTAGE, LLC",First Sacramento Capital Funding LLC,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:12,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,74%,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:12,No data available,2:08,52,Plan too new to be measured,Plan too new to be measured,1%,0%,16.03%,3.17%,0.00%,10.12%,28.47%,78.74%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H3471,Health Alliance Northwest,HEALTH ALLIANCE NORTHWEST HEALTH PLAN,The Carle Foundation,Not enough data available,67%,Not enough data available,31%,92,1:17,73%,94%,1.08%,85%,88%,32%,4%,11%,61%,63%,45%,91%,42%,60%,10%,Not enough data available,10%,95%,Plan not required to report measure,60%,70%,85%,4%,19%,6%,3%,1.08%,1:17,102,0:30,55,37%,16%,12%,No data available,6.66%,5.22%,0.27%,6.96%,10.07%,12.07%,1,Not Available,Not Available,Not Available,Not Available,Not Available,60
H3499,Wellcare by Allwell,COORDINATED CARE CORPORATION,Centene Corporation,52%,66%,Not enough data available,Not enough data available,92,2:04,62%,93%,9.04%,83%,93%,35%,5%,11%,55%,46%,26%,76%,19%,42%,Not enough data available,Not enough data available,Not enough data available,99%,44%,43%,66%,71%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,9.04%,2:04,100,0:12,96,58%,39%,2%,No data available,16.43%,5.07%,0.95%,11.65%,14.74%,15.75%,9.85,23%,27%,15%,Not Available,18%,100
H3528,ConnectiCare,"CONNECTICARE, INC.","EmblemHealth, Inc.",33%,69%,94%,33%,91,0:24,77%,96%,3.16%,79%,87%,29%,4%,13%,57%,63%,26%,85%,25%,50%,12%,14%,12%,95%,Plan not required to report measure,46%,65%,81%,4%,10%,10%,2%,3.16%,0:24,102,0:46,48,60%,21%,9%,10%,18.94%,10.70%,0.19%,6.49%,8.75%,10.01%,1.57,13%,11%,32%,10%,10%,100
H3533,Humana,"HUMANA HEALTH COMPANY OF NEW YORK, INC.",Humana Inc.,58%,63%,93%,34%,No data available,0:14,62%,95%,0.82%,71%,83%,43%,9%,18%,59%,77%,20%,86%,12%,49%,13%,13%,13%,94%,92%,41%,64%,78%,0%,1%,1%,1%,0.82%,0:14,100,0:47,87,62%,38%,5%,7%,16.88%,10.32%,0.19%,8.10%,10.94%,16.80%,5.48,18%,39%,28%,Not Available,15%,100
H3536,Anthem Blue Cross and Blue Shield,"MATTHEW THORNTON HEALTH PLAN, INC.","Elevance Health, Inc.",68%,63%,Not enough data available,33%,No data available,0:21,67%,94%,2.06%,66%,66%,39%,11%,28%,57%,70%,0%,77%,0%,37%,12%,11%,13%,95%,Plan not required to report measure,37%,75%,84%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:17,99,0:28,93,48%,25%,8%,No data available,25.36%,11.37%,0.00%,8.08%,12.12%,11.42%,4.71,23%,14%,29%,Not Available,10%,100
H3554,Arkansas Blue Medicare,USABLE PPO INSURANCE COMPANY,USAble Mutual Insurance Company,Not enough data available,Not enough data available,Not enough data available,Not enough data available,92,0:37,69%,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,61%,8%,86%,5%,40%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,20%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:37,99,0:14,62,41%,22%,11%,No data available,17.97%,3.97%,0.00%,3.16%,12.57%,15.01%,5.39,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3557,Blue Cross & Blue Shield of Rhode Island,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND,Blue Cross & Blue Shield of Rhode Island,Not enough data available,72%,Not enough data available,43%,92,0:27,81%,99%,0.00%,86%,91%,18%,3%,15%,63%,79%,33%,91%,33%,59%,14%,Not enough data available,15%,Plan too new to be measured,Plan not required to report measure,47%,Plan too new to be measured,Plan too new to be measured,16%,22%,24%,3%,0.00%,0:27,103,0:12,62,52%,14%,9%,No data available,18.98%,6.26%,0.00%,5.77%,7.64%,5.27%,9.12,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3561,Wellcare by Health Net,"HEALTH NET COMMUNITY SOLUTIONS, INC.",Centene Corporation,37%,57%,Not enough data available,22%,No data available,2:39,58%,93%,10.67%,65%,85%,14%,1%,7%,57%,65%,10%,84%,3%,40%,13%,15%,13%,93%,87%,62%,67%,82%,1%,1%,1%,0%,10.67%,2:39,100,0:12,98,68%,52%,5%,4%,13.96%,5.70%,0.14%,9.01%,10.54%,20.27%,5.64,Not Available,22%,18%,Not Available,17%,100
H3597,Aetna Medicare,AETNA HEALTH INC. (ME),CVS Health Corporation,Not enough data available,76%,91%,19%,93,0:22,75%,97%,0.83%,91%,90%,35%,7%,10%,56%,92%,7%,89%,8%,49%,12%,Not enough data available,12%,98%,87%,11%,66%,86%,4%,14%,8%,3%,0.83%,0:22,100,0:45,93,47%,16%,8%,15%,14.60%,9.00%,0.00%,5.84%,5.43%,10.94%,1.48,11%,10%,21%,10%,11%,100
H3632,Medica,MEDICA COMMUNITY HEALTH PLAN,Medica Holding Company,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:35,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,CMS found issues with plan's data,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:35,100,0:48,49,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3653,Paramount Elite Medicare Plans,"PARAMOUNT CARE, INC.","Promedica Health System, Inc.",56%,63%,Not enough data available,36%,93,0:37,80%,97%,0.00%,82%,82%,33%,2%,17%,59%,62%,59%,88%,37%,62%,10%,7%,10%,96%,Plan not required to report measure,45%,61%,83%,2%,14%,12%,8%,0.00%,0:37,101,1:01,86,38%,18%,9%,7%,16.97%,3.76%,0.17%,8.42%,9.81%,15.32%,2.66,Not Available,Not Available,Not Available,Not Available,Not Available,100
H3655,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,"Elevance Health, Inc.",46%,64%,90%,27%,No data available,0:32,69%,95%,4.84%,76%,82%,39%,6%,21%,58%,84%,0%,82%,0%,42%,15%,14%,15%,94%,62%,39%,60%,82%,3%,7%,6%,5%,2.73%,0:15,100,0:28,92,45%,24%,7%,7%,15.35%,3.15%,0.37%,9.25%,10.47%,16.12%,5.05,12%,11%,24%,Not Available,15%,100
H3660,SummaCare Medicare Advantage Plans,SUMMACARE INC.,Summa Health,56%,70%,90%,28%,94,0:27,82%,97%,2.08%,77%,83%,25%,3%,18%,68%,75%,63%,90%,50%,69%,14%,14%,14%,95%,Plan not required to report measure,44%,66%,83%,3%,15%,13%,8%,2.08%,0:27,100,0:24,92,52%,25%,8%,10%,13.09%,4.16%,0.07%,6.97%,9.46%,8.27%,13.87,14%,14%,26%,Not Available,9%,100
