2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Hospitalization for Potentially Preventable Complications - DMC16,Statin Therapy for Patients with Cardiovascular Disease - DMC17,Asthma Medication Ratio - DMC18,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to Fill prescriptions - DMD13,Reminders to Take Medications - DMD14,Statin Use in Persons with Diabetes (SUPD) - DMD15,High Risk Medication - DMD16,Formulary Administration Analysis - DMD17,Antipsychotic Use in Persons with Dementia - DMD18,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H2802,UnitedHealthcare,"Unitedhealthcare Of The Midlands, Inc.","UnitedHealth Group, Inc.",52%,54%,88%,92%,75%,33%,93,0:20,80%,96%,0.23%,74%,77%,34%,2%,42,77%,77%,83%,100.00%,0.23%,0:20,5%,0.32%,100%,99,0:43,98,0.0%,13.3%,48%,27%,77%,4%,No data available,10%,97%,5.00,23%,43%,17%,14%,13%
H2816,"Universal American, A WellCare Company",American Progressive Life & Hlth Ins Company Of Ny,"WellCare Health Plans, Inc.",50%,60%,93%,93%,77%,26%,91,0:15,75%,95%,0.00%,75%,82%,60%,7%,56,80%,82%,100%,100.00%,0.00%,0:15,4%,0.26%,100%,99,0:34,99,0.0%,0.0%,43%,35%,78%,4%,0.0%,13%,96%,CMS identified issues with this plan's data,11%,10%,25%,16%,8%
H2829,Innovation Health,"Innovation Health Plan, Inc.","Innovation Health Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2836,Anthem Blue Cross and Blue Shield,"Anthem Health Plans, Inc.",Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,100%,No data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available
H2879,Molina Healthcare of Wisconsin,Molina Healthcare Of Wisconsin,"Molina Healthcare, Inc.,",40%,41%,Not enough data available,95%,Not enough data available,Not enough data available,Not enough data available,0:13,57%,95%,1.60%,76%,85%,49%,9%,No data available,Not enough data available,Not enough data available,No data available,No data available,1.60%,0:13,7%,0.34%,100%,101,0:34,98,No data available,0.0%,61%,57%,80%,4%,No data available,No data available,No data available,7.15,25%,37%,15%,15%,16%
H2906,Senior Care Plus,"Hometown Health Plan, Inc.",Renown Health,Not enough data available,85%,Not enough data available,88%,70%,22%,89,0:41,76%,95%,0.00%,58%,64%,29%,4%,41,81%,Not enough data available,80%,No data available,0.00%,0:41,4%,0.91%,100%,101,0:05,98,No data available,No data available,30%,20%,72%,5%,3.3%,9%,95%,2.82,10%,24%,45%,4%,4%
H2915,Allwell,"Pennsylvania Health And Wellness, Inc.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H2926,PrimeWest Health,Primewest Rural Mn Health Care Access Initiative,PrimeWest Rural MN Health Care Access Initiative,Not enough data available,Not enough data available,Not enough data available,96%,No data available,Not enough data available,No data available,0:07,No data available,99%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,100%,No data available,0.00%,0:07,12%,0.00%,100%,103,0:06,99,No data available,0.0%,No data available,No data available,78%,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H2931,UnitedHealthcare,"Health Plan Of Nevada, Inc.","UnitedHealth Group, Inc.",76%,50%,91%,96%,83%,66%,88,0:04,74%,95%,0.00%,60%,73%,19%,0%,16,64%,64%,92%,100.00%,0.00%,0:04,3%,0.11%,100%,99,0:43,99,0.0%,0.0%,51%,24%,77%,3%,No data available,8%,97%,7.61,28%,31%,14%,8%,19%
H2944,Humana Insurance Company,Humana Insurance Company,Humana Inc.,47%,54%,93%,92%,70%,24%,91,0:47,73%,97%,0.00%,60%,70%,32%,4%,59,75%,75%,100%,100.00%,0.00%,0:47,6%,0.92%,100%,100,0:32,98,0.0%,0.0%,55%,37%,74%,8%,0.0%,13%,98%,CMS identified issues with this plan's data,15%,14%,31%,9%,10%
H2949,"Humana Health Plan, Inc.","Humana Health Plan, Inc.",Humana Inc.,41%,51%,86%,95%,85%,55%,90,0:46,70%,96%,0.00%,55%,72%,8%,1%,18,73%,73%,100%,No data available,0.00%,0:46,3%,0.34%,100%,100,0:32,99,0.0%,0.0%,64%,36%,78%,4%,0.0%,8%,98%,CMS identified issues with this plan's data,29%,30%,18%,12%,19%
H2960,Senior Care Plus,"Hometown Health Plan, Inc.",Renown Health,Not enough data available,79%,94%,91%,83%,34%,92,0:41,83%,95%,0.00%,64%,70%,31%,4%,34,74%,84%,50%,100.00%,0.00%,0:41,5%,0.50%,100%,101,0:05,98,No data available,No data available,37%,25%,76%,5%,0.0%,7%,92%,2.16,17%,27%,28%,9%,18%
H2962,Ultimate Health Plans,"Ultimate Health Plans, Inc.","ULTIMATE HEALTH PLAN, INC.",Not enough data available,55%,Not enough data available,97%,87%,29%,88,0:12,66%,96%,0.00%,75%,69%,6%,0%,21,57%,Not enough data available,100%,100.00%,0.81%,0:15,5%,1.59%,100%,106,0:19,98,No data available,0.0%,48%,29%,74%,3%,0.0%,3%,95%,3.98,15%,29%,8%,9%,10%
H2968,Memorial Hermann Health Plan,Memorial Hermann Health Insurance Company,Memorial Hermann Health System,Not enough data available,Not enough data available,Not enough data available,91%,87%,Not enough data available,92,0:17,72%,96%,1.60%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,52,77%,Not enough data available,No data available,No data available,0.82%,0:32,4%,0.70%,100%,104,0:36,98,No data available,0.0%,43%,20%,74%,4%,13.3%,10%,100%,CMS identified issues with this plan's data,27%,35%,24%,18%,18%
H2986,Stanford Health Care Advantage,Stanford Healthcare Advantage,Stanford Health Care,Not enough data available,Not enough data available,Not enough data available,91%,83%,Not enough data available,92,0:11,77%,96%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:08,4%,0.11%,100%,99,0:14,99,No data available,0.0%,53%,27%,82%,7%,0.0%,2%,84%,CMS identified issues with this plan's data,24%,21%,25%,11%,19%
H3018,Centers Plan for FIDA Care Complete,"Centers Plan For Healthy Living, Llc","Centers Plan for Healthy Living, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:59,No data available,Not enough data available,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:12,No data available,No data available,100%,0,0:26,99,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H3054,Constellation Health,"Constellation Health, Llc.","Constellation Health, LLC.",76%,39%,81%,94%,77%,Not enough data available,93,1:27,31%,99%,2.21%,34%,58%,19%,1%,No data available,88%,85%,27%,100.00%,2.31%,1:31,5%,0.45%,100%,102,0:08,99,No data available,No data available,36%,45%,76%,8%,No data available,16%,No data available,0.03,11%,19%,10%,19%,13%
H3067,Virginia Premier CompleteCare,"Virginia Premier Health Plan, Inc.",Virginia Cwlth University Hlth System Authority,36%,44%,Not enough data available,93%,Not enough data available,Not enough data available,Not enough data available,0:04,50%,90%,0.00%,72%,89%,36%,2%,49,79%,67%,No data available,No data available,0.00%,0:04,6%,0.43%,100%,101,0:18,99,0.0%,0.0%,53%,47%,75%,5%,0.0%,13%,No data available,7.35,No data available,No data available,No data available,No data available,No data available
H3071,"Community Care Alliance of Illinois, NFP","Community Care Alliance Of Illinois, Nfp",Family Health Network,33%,43%,Not enough data available,85%,63%,Not enough data available,90,0:19,57%,90%,0.81%,62%,73%,30%,3%,77,74%,Not enough data available,100%,100.00%,0.81%,0:21,4%,0.76%,100%,101,0:33,99,0.0%,0.0%,58%,46%,75%,2%,3.3%,6%,99%,CMS identified issues with this plan's data,35%,39%,13%,14%,28%
H3113,UnitedHealthcare,"Oxford Health Plans (nj), Inc.","UnitedHealth Group, Inc.",32%,56%,97%,95%,62%,Not enough data available,90,0:25,53%,97%,0.00%,72%,91%,35%,4%,45,76%,62%,67%,No data available,0.00%,0:25,5%,0.23%,100%,100,0:43,99,0.0%,0.0%,60%,51%,75%,8%,No data available,9%,No data available,1.50,26%,37%,13%,14%,16%
H3129,"North Shore-LIJ Health Plan, Inc.","North Shore-lij Health Plan, Inc.","Northwell Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,0:24,No data available,Not enough data available,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:24,No data available,No data available,100%,0,0:34,100,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H3132,AHF,"Ahf Mco Of Florida, Inc.",AIDS Healthcare Foundation,33%,49%,Not enough data available,99%,Not enough data available,Not enough data available,95,0:35,82%,99%,0.00%,52%,93%,24%,2%,34,83%,41%,50%,100.00%,0.00%,0:35,7%,1.05%,100%,100,0:29,100,No data available,0.0%,79%,66%,76%,7%,0.0%,No data available,No data available,1.73,No data available,No data available,No data available,No data available,No data available
H3152,Aetna Medicare,Aetna Health Inc. (nj),Aetna Inc.,53%,61%,94%,91%,82%,42%,94,0:20,72%,97%,0.00%,72%,83%,31%,5%,47,78%,89%,100%,No data available,0.00%,0:20,4%,0.89%,100%,101,0:28,97,0.0%,0.0%,46%,27%,74%,4%,0.0%,10%,98%,2.67,19%,30%,28%,14%,14%
H3154,Horizon Blue Cross Blue Shield of New Jersey,Horizon Insurance Company,"Horizon Healthcare Services, Inc.",60%,58%,92%,91%,73%,34%,92,0:31,70%,95%,1.64%,52%,69%,37%,2%,61,77%,83%,72%,100.00%,0.00%,0:07,4%,0.23%,100%,99,0:08,99,0.0%,6.7%,49%,28%,76%,3%,0.0%,9%,97%,1.00,23%,30%,36%,15%,13%
H3170,Blue Cross and Blue Shield of Nebraska,"Sapphire Edge, Inc.",Blue Cross Blue Shield of Nebraska,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0:15,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.81%,0:10,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:14,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,92%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3204,Presbyterian Health Plan,Presbyterian Health Plan,Presbyterian Healthcare Services,57%,57%,88%,90%,86%,37%,91,0:22,81%,95%,0.40%,69%,77%,51%,5%,26,70%,83%,96%,90.91%,0.40%,0:22,4%,0.05%,100%,99,0:27,97,0.0%,6.7%,40%,19%,74%,3%,No data available,9%,94%,2.53,25%,29%,17%,13%,23%
H3206,"Presbyterian Insurance Company, Inc.","Presbyterian Insurance Company, Inc.",Presbyterian Healthcare Services,Not enough data available,53%,Not enough data available,89%,85%,34%,92,0:25,78%,97%,0.00%,69%,69%,30%,4%,40,73%,85%,100%,100.00%,0.00%,0:25,4%,0.10%,100%,100,0:27,97,0.0%,0.0%,34%,20%,67%,4%,No data available,9%,94%,2.24,10%,23%,49%,10%,4%
H3227,Kalos Health Plan,Erieniagara Mltc,ErieNiagara MLTC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H3233,Premier Health Plan,Premier Health Insuring Corporation,Premier Health Partners,Not enough data available,58%,Not enough data available,93%,77%,Not enough data available,92,0:12,75%,96%,0.00%,79%,77%,24%,4%,28,74%,87%,80%,100.00%,0.00%,0:12,6%,0.16%,100%,94,0:09,97,0.0%,0.0%,42%,23%,75%,5%,No data available,9%,99%,CMS identified issues with this plan's data,15%,35%,14%,7%,10%
H3237,Health Net Cal MediConnect Medicare Medicaid Plan,"Health Net Community Solutions, Inc.",Centene Corporation,25%,38%,83%,91%,57%,20%,Not enough data available,0:27,49%,75%,2.00%,52%,78%,23%,2%,22,72%,66%,100%,100.00%,2.00%,0:17,5%,0.08%,100%,103,0:14,98,0.0%,0.0%,49%,50%,74%,2%,0.0%,8%,No data available,4.54,No data available,No data available,No data available,No data available,No data available
