2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions - DMC23,Physical Functioning Activities of Daily Living - DMC24,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD06,MPF – Stability - DMD07,Call Center – Pharmacy Hold Time - DMD08,Plan Submitted Higher Prices for Display on MPF - DMD09,Reminders to Fill Prescriptions - DMD10,Reminders to Take Medications - DMD11,Antipsychotic Use in Persons with Dementia - DMD12,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD13,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD14,Use of Opioids at High Dosage and from Multiple Providers - DMD15,MPF Price Accuracy - DMD16,Concurrent Use of Opioids and Benzodiazepines - DMD17,Use of Opioids at High Dosage in Persons Without Cancer - DMD18,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD19,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD20,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD21,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H2241,Golden State,GOLDEN STATE MEDICARE HEALTH PLAN,MacArthur Court Acquisition Corp,Not enough data available,57%,Not enough data available,78%,29%,Not enough data available,00:42,69%,95%,0.78%,62%,80%,23%,3%,33,54%,60%,35%,7%,85%,1%,32%,8%,97,40%,100.00%,3.97%,00:23,2%,100%,102,00:09,74,43%,17%,8%,7%,No data available,0.16%,89,11.61%,8.75%,0.16%,2.11%,3.88%,1.24,25%,41%,11%,10%,15%,80
H2247,UnitedHealthcare,"UNITEDHEALTHCARE COMMUNITY PLAN, INC.","UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,57%,Not enough data available,No data available,00:22,No data available,96%,1.56%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,73%,50%,48%,6%,82%,0%,34%,No data available,No data available,No data available,No data available,1.56%,00:22,4%,100%,100,00:35,88,No data available,No data available,5%,4%,No data available,0.00%,90,16.51%,7.51%,0.50%,13.07%,7.28%,3.45,23%,47%,13%,Not Available,22%,100
H2256,Tufts Health Plan,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION,"Tufts Health Plan, Inc",65%,57%,90%,89%,41%,93,00:19,84%,98%,1.17%,77%,82%,25%,3%,40,78%,61%,60%,49%,93%,12%,54%,8%,97,79%,60.00%,1.17%,00:19,2%,100%,102,00:20,80,49%,26%,9%,7%,14%,0.02%,90,18.90%,5.22%,0.21%,7.05%,4.21%,4.69,14%,30%,29%,8%,10%,80
H2261,Blue Cross Blue Shield of Massachusetts,"BCBS  OF MASSACHUSETTS HMO BLUE, INC.","Blue Cross and Blue Shield of Massachusetts, Inc.",Not enough data available,60%,Not enough data available,90%,29%,92,00:43,78%,98%,1.57%,81%,76%,23%,2%,42,76%,63%,71%,40%,87%,37%,59%,9%,94,94%,83.33%,1.57%,00:43,2%,100%,100,00:10,80,55%,25%,12%,10%,16%,0.00%,86,15.68%,9.26%,0.00%,7.09%,3.66%,13.49,13%,23%,23%,9%,7%,100
H2288,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:23,Plan too new to be measured,Plan too new to be measured,1.17%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,100.00%,1.17%,00:23,0%,100%,89,00:21,96,No data available,No data available,No data available,No data available,No data available,No data available,77,No data available,No data available,No data available,No data available,1.79%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2292,UnitedHealthcare,"OXFORD HEALTH INSURANCE, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:50,Plan too new to be measured,Plan too new to be measured,2.01%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,2.01%,00:50,3%,100%,104,00:35,93,No data available,No data available,7%,5%,7%,0.00%,70,19.09%,5.79%,0.00%,9.17%,9.63%,0.24,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2320,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,61%,67%,91%,89%,34%,92,04:56,81%,96%,0.00%,78%,79%,42%,5%,33,80%,57%,80%,57%,91%,56%,71%,8%,96,94%,94.29%,0.00%,04:56,3%,100%,102,03:38,77,42%,25%,11%,10%,15%,0.03%,88,16.28%,6.68%,0.34%,5.93%,4.09%,4.80,12%,7%,26%,11%,10%,100
H2322,HAP Senior Plus (PPO),ALLIANCE HEALTH AND LIFE INSURANCE COMPANY,Henry Ford Health System,Not enough data available,64%,Not enough data available,86%,36%,92,00:14,80%,98%,0.00%,72%,84%,45%,1%,25,66%,61%,51%,26%,81%,15%,43%,9%,94,No data available,No data available,3.13%,00:14,2%,100%,101,00:10,79,54%,24%,11%,9%,No data available,0.00%,88,20.22%,10.32%,0.83%,5.65%,6.75%,8.58,19%,12%,44%,Not Available,12%,80
H2334,Clear Spring Health,"EON HEALTH, INC. (SC)",Group 1001,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,02:07,No data available,100%,2.58%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,2.58%,02:07,No data available,100%,No data available,00:56,83,No data available,No data available,No data available,No data available,No data available,No data available,76,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2354,HAP Senior Plus,HEALTH ALLIANCE PLAN OF MICHIGAN,Henry Ford Health System,65%,59%,85%,83%,38%,92,00:44,83%,97%,0.26%,68%,77%,53%,5%,25,66%,64%,69%,27%,86%,14%,49%,8%,94,100%,100.00%,1.95%,00:13,2%,100%,101,00:10,80,49%,24%,9%,8%,10%,0.00%,89,15.90%,4.51%,0.58%,7.60%,4.32%,5.46,10%,19%,33%,7%,10%,100
H2392,Kansas Health Advantage,"KANSAS SUPERIOR SELECT, INC.",Kansas Superior Select,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,01:33,No data available,Not enough data available,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,0.00%,01:33,15%,100%,No data available,00:46,82,No data available,No data available,10%,No data available,10%,0.00%,81,20.81%,4.03%,0.00%,19.50%,19.36%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2400,Signature Advantage (HMO SNP),"SIGNATURE ADVANTAGE, LLC","SA Plan, LLC",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,01:10,No data available,100%,4.72%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,4.72%,01:10,6%,100%,No data available,00:15,68,No data available,No data available,7%,No data available,8%,0.00%,85,31.81%,2.41%,0.00%,18.62%,16.82%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H2406,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",36%,67%,85%,87%,39%,91,00:47,72%,97%,1.46%,70%,63%,37%,3%,27,73%,58%,52%,11%,76%,0%,35%,8%,92,95%,No data available,1.46%,00:47,3%,100%,100,00:35,84,54%,23%,10%,9%,8%,0.07%,89,25.51%,11.66%,0.48%,6.36%,6.14%,5.39,19%,28%,26%,11%,11%,80
H2416,PrimeWest Health,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE,PrimeWest Rural MN Health Care Access Initiative,Not enough data available,92%,Not enough data available,63%,19%,Not enough data available,00:13,79%,99%,0.00%,64%,86%,Not enough data available,Not enough data available,83,75%,79%,52%,17%,82%,15%,41%,9%,86,No data available,No data available,0.00%,00:13,6%,100%,100,00:08,88,32%,26%,16%,20%,13%,0.00%,96,15.61%,8.24%,0.00%,13.15%,10.82%,0.13,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2417,Itasca Medical Care/IMCare Classic,ITASCA MEDICAL CARE,Itasca County,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:17,No data available,98%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,85,85%,64%,83%,67%,91%,60%,75%,Not enough data available,No data available,No data available,No data available,0.78%,00:17,8%,100%,101,00:12,82,No data available,No data available,18%,17%,16%,0.00%,90,19.96%,5.29%,0.00%,10.71%,10.46%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2419,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Not enough data available,82%,Not enough data available,68%,12%,Not enough data available,00:21,82%,99%,0.00%,Not enough data available,Not enough data available,61%,0%,61,73%,48%,54%,28%,86%,15%,45%,10%,86,No data available,No data available,0.00%,00:21,4%,100%,100,00:07,91,31%,30%,16%,19%,13%,0.00%,89,13.39%,4.62%,0.40%,10.02%,9.87%,0.22,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2422,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Not enough data available,75%,Not enough data available,62%,30%,95,00:20,77%,98%,0.00%,79%,81%,47%,8%,52,79%,56%,81%,76%,85%,41%,71%,11%,88,No data available,No data available,0.00%,00:20,3%,100%,102,00:17,92,50%,39%,16%,18%,14%,0.00%,97,14.97%,5.41%,0.66%,11.73%,9.84%,4.63,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2425,Blue Plus,BLUE PLUS,"Aware Integrated, Inc.",Not enough data available,67%,Not enough data available,68%,21%,Not enough data available,00:10,80%,98%,0.00%,70%,87%,45%,4%,50,77%,51%,49%,27%,79%,7%,41%,9%,85,100%,100.00%,4.69%,00:23,5%,100%,101,00:06,94,40%,29%,16%,21%,13%,0.00%,86,13.85%,4.93%,0.47%,10.43%,8.83%,1.21,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2446,Blue Cross and Blue Shield of Minnesota,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,"Aware Integrated, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:54,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,0.00%,00:54,0%,No data available,98,00:06,93,No data available,No data available,No data available,No data available,No data available,No data available,93,No data available,No data available,No data available,No data available,0.00%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2450,Medica,MEDICA INSURANCE COMPANY,Medica Holding Company,55%,64%,Plan not required to report measure,73%,37%,92,Plan not required to report measure,80%,96%,Plan not required to report measure,79%,82%,41%,5%,Plan not required to report measure,76%,56%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,97,100%,No data available,Plan not required to report measure,Plan not required to report measure,3%,100%,103,Plan not required to report measure,75,42%,17%,11%,11%,13%,0.07%,97,13.35%,5.83%,0.37%,5.88%,3.75%,0.90,7%,10%,34%,5%,3%,100
H2456,UCare's MSHO,UCARE MINNESOTA,UCare Minnesota,64%,65%,Not enough data available,65%,25%,Not enough data available,00:41,74%,98%,0.78%,73%,89%,40%,5%,52,70%,52%,51%,17%,77%,8%,38%,10%,88,100%,No data available,0.78%,00:41,4%,100%,102,00:10,80,58%,51%,16%,19%,14%,0.06%,87,12.31%,6.15%,0.79%,12.87%,9.83%,0.87,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2458,Medica,MEDICA HEALTH PLANS,Medica Holding Company,72%,67%,Not enough data available,68%,23%,93,01:26,78%,98%,0.00%,76%,87%,36%,2%,62,76%,54%,74%,57%,88%,40%,65%,10%,92,100%,No data available,0.00%,01:26,4%,100%,100,00:10,89,46%,38%,16%,17%,14%,0.00%,90,13.95%,6.10%,1.03%,12.75%,10.74%,1.00,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2459,UCare,UCARE MINNESOTA,UCare Minnesota,68%,66%,92%,86%,36%,92,00:09,85%,95%,0.00%,84%,86%,41%,4%,41,77%,59%,63%,32%,88%,11%,49%,9%,98,83%,No data available,0.00%,00:09,2%,100%,100,00:10,78,40%,15%,12%,11%,14%,0.02%,88,9.84%,5.46%,1.05%,6.09%,3.10%,0.41,8%,6%,33%,6%,6%,80
H2461,Blue Cross and Blue Shield of Minnesota,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,"Aware Integrated, Inc.",67%,71%,Plan not required to report measure,76%,41%,93,Plan not required to report measure,80%,96%,Plan not required to report measure,75%,72%,40%,3%,Plan not required to report measure,80%,59%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,96,100%,No data available,Plan not required to report measure,Plan not required to report measure,3%,100%,100,Plan not required to report measure,91,42%,23%,11%,11%,No data available,0.00%,94,11.52%,6.00%,0.32%,5.71%,2.83%,6.22,6%,Not Available,42%,Not Available,7%,100
H2462,HealthPartners,"GROUP HEALTH PLAN, INC. (MN)","HealthPartners, Inc.",69%,65%,Plan not required to report measure,79%,39%,92,Plan not required to report measure,81%,97%,Plan not required to report measure,83%,85%,34%,3%,Plan not required to report measure,79%,60%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,98,No data available,100.00%,Plan not required to report measure,Plan not required to report measure,3%,100%,102,Plan not required to report measure,90,31%,10%,10%,11%,No data available,0.00%,98,12.39%,6.07%,0.56%,7.59%,3.80%,15.82,Not Available,Not Available,Not Available,Not Available,Not Available,100
H2463,Humana,"HUMANA HEALTH PLAN OF TEXAS, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:18,Plan too new to be measured,Plan too new to be measured,1.74%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,No data available,1.74%,00:18,2%,100%,100,00:12,88,No data available,No data available,6%,6%,No data available,0.00%,92,7.72%,8.60%,0.00%,5.03%,3.12%,3.19,23%,22%,23%,Not Available,18%,100
H2486,Humana,"HUMANA MEDICAL PLAN OF UTAH, INC.",Humana Inc.,45%,60%,Not enough data available,74%,24%,Not enough data available,00:20,76%,92%,1.68%,Not enough data available,Not enough data available,33%,5%,23,80%,51%,46%,2%,81%,1%,32%,9%,94,100%,No data available,1.68%,00:20,3%,100%,100,00:12,86,54%,29%,7%,8%,No data available,0.00%,92,22.04%,15.29%,1.46%,5.31%,7.62%,1.04,23%,23%,12%,7%,9%,100
H2491,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",Centene Corporation,29%,42%,83%,54%,22%,91,00:58,49%,92%,1.43%,73%,83%,34%,4%,49,58%,47%,48%,6%,73%,2%,32%,8%,88,100%,No data available,1.43%,00:58,3%,100%,100,01:12,97,62%,52%,11%,11%,10%,0.16%,94,15.71%,7.07%,1.35%,10.31%,6.97%,4.33,27%,36%,13%,Not Available,15%,100
H2506,Aetna Better Health Premier Plan,AETNA BETTER HEALTH INC. (IL),CVS Health Corporation,37%,44%,Not enough data available,41%,22%,Not enough data available,00:34,48%,86%,0.00%,75%,88%,45%,10%,79,57%,46%,27%,1%,64%,4%,24%,8%,98,100%,100.00%,0.00%,00:34,Plan not required to report measure,100%,Plan not required to report measure,00:07,Plan not required to report measure,63%,44%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.04,Not Available,Not Available,Not Available,Not Available,Not Available,100
